"unit","unit_si","prefix","word","multiplier","conv","unit_conv","unit_conv_si","type","remove","source"
"neq","FALSE","nano","equivalent",1E-09,"TRUE","eq","FALSE","noscience","TRUE",
"meq","FALSE","milli","equivalent",0.001,"TRUE","eq","FALSE","noscience","TRUE",
"ueq","FALSE","micro","equivalent",1E-06,"TRUE","eq","FALSE","noscience","TRUE",
"mm2","TRUE","milli","square meter",1E-06,"TRUE","m2","TRUE","area","FALSE",
"cm2","TRUE","centi","square meter",0.0001,"TRUE","m2","TRUE","area","FALSE",
"dm2","TRUE","deci","square meter",0.01,"TRUE","m2","TRUE","area","FALSE",
"m2","TRUE","one","square meter",1,"TRUE","m2","TRUE","area","FALSE",
"yd2","FALSE","one","square yard",0.836127,"TRUE","m2","TRUE","area","FALSE",
"ha","FALSE","one","hectare",10000,"TRUE","m2","TRUE","area","FALSE",
"hectare","FALSE","one","hectare",10000,"TRUE","m2","TRUE","area","FALSE",
"acre","FALSE","one","acre",4046.873,"TRUE","m2","TRUE","area","FALSE",
"acres","FALSE","one","acre",4046.873,"TRUE","m2","TRUE","area","FALSE",
"ac","FALSE","one","acre",4046.873,"TRUE","m2","TRUE","area","FALSE",
"rod2","FALSE","one","square rod",25.2929,"TRUE","m2","TRUE","area","FALSE",
"mi2","FALSE","one","square mile",2589988.110336,"TRUE","m2","TRUE","area","FALSE",
"km2","TRUE","kilo","square meter",1000000,"TRUE","m2","TRUE","area","FALSE",
"ft2","FALSE","one","square foot",0.0929,"TRUE","m2","TRUE","area","FALSE",
"k sqft","FALSE","kilo","square foot",92.9,"TRUE","m2","TRUE","area","FALSE",
"feddan","FALSE","one","feddan",4200,"TRUE","m2","TRUE","area","FALSE","https://en.wikipedia.org/wiki/Feddan"
"dn(Cyprus)","FALSE","one","dunum_cyprus",1338,"TRUE","m2","TRUE","area","FALSE",
"dn(Std)","FALSE","one","dunum_std",1000,"TRUE","m2","TRUE","area","FALSE",
"%","FALSE","one","percent",10000000,"TRUE","ppb","FALSE","fraction","FALSE",
"‰","FALSE","one","permille",1000000,"TRUE","ppb","FALSE","fraction","FALSE",
"d","FALSE","one","day",24,"TRUE","h","TRUE","time","FALSE",
"day","FALSE","one","day",24,"TRUE","h","TRUE","time","FALSE",
"h","TRUE","one","hour",1,"TRUE","h","TRUE","time","FALSE",
"hr","TRUE","one","hour",1,"TRUE","h","TRUE","time","FALSE",
"hour","TRUE","one","hour",1,"TRUE","h","TRUE","time","FALSE",
"mi","FALSE","one","minute",0.0166667,"TRUE","h","TRUE","time","FALSE",
"min","FALSE","one","minute",0.0166667,"TRUE","h","TRUE","time","FALSE",
"wk","FALSE","one","week",168,"TRUE","h","TRUE","time","FALSE",
"mo","FALSE","one","month",730,"TRUE","h","TRUE","time","FALSE",
"yr","FALSE","one","year",8760,"TRUE","h","TRUE","time","FALSE",
"ft3","TRUE","one","cubicfoot",0.02831658,"TRUE","m3","TRUE","volume","FALSE",
"mm3","TRUE","milli","cubic",1E-09,"TRUE","m3","TRUE","volume","FALSE",
"cm3","TRUE","centi","cubic",1E-06,"TRUE","m3","TRUE","volume","FALSE",
"dm3","TRUE","deci","cubic",0.001,"TRUE","m3","TRUE","volume","FALSE",
"m3","TRUE","one","cubic",1,"TRUE","m3","TRUE","volume","FALSE",
"fl oz","FALSE","one","fluid ounce",0.02957353,"TRUE","l","TRUE","volume","FALSE","https://en.wikipedia.org/wiki/Fluid_ounce"
"pt","FALSE","one","pint",0.473176473,"TRUE","l","TRUE","volume","FALSE","https://en.wikipedia.org/wiki/Pint"
"oz","FALSE","one","ounce",28.349523125,"TRUE","g","TRUE","mass","FALSE","https://en.wikipedia.org/wiki/Ounce"
"gal","FALSE","one","gallon",3.785411784,"TRUE","l","TRUE","volume","FALSE","https://en.wikipedia.org/wiki/Gallon"
"ga","FALSE","one","gallon",3.785411784,"TRUE","l","TRUE","volume","FALSE","https://en.wikipedia.org/wiki/Gallon"
"qt","FALSE","one","quart",0.946352946,"TRUE","l","TRUE","volume","FALSE",
"lb","FALSE","one","pound",453.592,"TRUE","g","TRUE","mass","FALSE","https://en.wikipedia.org/wiki/Pound_(mass)"
"lbs","FALSE","one","pound",453.592,"TRUE","g","TRUE","mass","FALSE","https://en.wikipedia.org/wiki/Pound_(mass)"
"PSU","FALSE","one","practical salinity unit",1,"FALSE","PSU","FALSE","noscience","TRUE",
"--","FALSE","one","no data",,"FALSE",,,"nodata","TRUE",
"NR","FALSE","one","no data",,"FALSE",,,"nodata","TRUE",
"eu","FALSE","one","experimental unit",1,"TRUE","eu","FALSE","noscience","TRUE",
"EU","FALSE","one","experimental unit",1,"TRUE","eu","FALSE","noscience","TRUE",
"MBq","TRUE","mega","becquerel",1000000,"TRUE","Bq","TRUE","radioactivity","FALSE",
"kBq","TRUE","kilo","becquerel",1000,"TRUE","Bq","TRUE","radioactivity","FALSE",
"Bq","TRUE","one","becquerel",1,"TRUE","Bq","TRUE","radioactivity","FALSE",
"mBq","TRUE","milli","becquerel",0.001,"TRUE","Bq","TRUE","radioactivity","FALSE",
"uBq","TRUE","micro","becquerel",1E-06,"TRUE","Bq","TRUE","radioactivity","FALSE",
"Ci","FALSE","one","curie",37000000000,"TRUE","Bq","TRUE","radioactivity","FALSE",
"mCI","FALSE","milli","curie",37000000,"TRUE","Bq","TRUE","radioactivity","FALSE",
"mCi","FALSE","milli","curie",37000000,"TRUE","Bq","TRUE","radioactivity","FALSE",
"mCi mg","FALSE","milli","curie",,"FALSE",,,"noscience","TRUE",
"uCI","FALSE","micro","curie",37000,"TRUE","Bq","TRUE","radioactivity","FALSE",
"uCi","FALSE","micro","curie",37000,"TRUE","Bq","TRUE","radioactivity","FALSE",
"nCI","FALSE","nano","curie",37,"TRUE","Bq","TRUE","radioactivity","FALSE",
"nCi","FALSE","nano","curie",37,"TRUE","Bq","TRUE","radioactivity","FALSE",
"pCI","FALSE","pico","curie",0.037,"TRUE","Bq","TRUE","radioactivity","FALSE",
"pCi","FALSE","pico","curie",0.037,"TRUE","Bq","TRUE","radioactivity","FALSE",
"ICU","FALSE","one","international chick units",1,"TRUE","ICU","FALSE","noscience","TRUE",
"USP","FALSE","one","united states pharmacopeia unit",1,"TRUE","USP","FALSE","noscience","TRUE",
"iu","FALSE","one","international units",1,"TRUE","iunit","FALSE","noscience","TRUE",
"IU","FALSE","one","international units",1,"TRUE","iunit","FALSE","noscience","TRUE",
"mIU","FALSE","milli","international units",,,,,,,
"fibers","FALSE","one","fibers",1,"TRUE","fibers","FALSE","noscience","TRUE",
"kJ","TRUE","kilo","joule",1000,"TRUE","J","TRUE","energy","FALSE",
"mS","TRUE","milli","Siemens",0.001,"TRUE","S","TRUE","electricity","FALSE",
"dS","TRUE","deci","Siemens",0.1,"TRUE","S","TRUE","electricity","FALSE",
"org","FALSE","one","organism",1,"TRUE","organism","FALSE","noscience","TRUE",
"organi","FALSE","one","organism",1,"TRUE","organism","FALSE","noscience","TRUE",
"v",,,"volume",,"FALSE",,,"volume",,"????"
"% v/v",,,"percentage volume",10000000,"TRUE","ppb",,"fraction",,
"cwt",,,"hundred weight",45360,"TRUE","g",,"mass",,"https://en.wikipedia.org/wiki/Hundredweight"
"w",,,"weight",,"FALSE",,,"noscience",,"????"
"% w/v",,,"percentage weight",10000000,"TRUE","ppb",,"fraction",,
"in dia",,,"inch diameter",,"FALSE",,,"noscience","TRUE",
"egg","FALSE","one","egg",1,"TRUE","egg","FALSE","noscience","TRUE",
"pellets","FALSE","one","pellets",1,"TRUE","pellets","FALSE","noscience","TRUE",
"bee","FALSE","one","bee",1,"TRUE","bee","FALSE","noscience","TRUE",
"fish","FALSE","one","fish",1,"TRUE","fish","FALSE","noscience","TRUE",
"dpm","FALSE","one","disintegrations per minute",0.01666667,"TRUE","Bq","TRUE","radioactivity","FALSE",
"sd","FALSE","one","seed",1,"TRUE","seed","FALSE","noscience","TRUE",
"seeds","FALSE","one","seed",1,"TRUE","seed","FALSE","noscience","TRUE",
"cntr","FALSE","one","container",1,"TRUE","container","FALSE","noscience","TRUE",
"plot","FALSE","one","plot",1,"TRUE","plot","FALSE","noscience","TRUE",
"cpm","FALSE","one","counts per minute",1,"TRUE","cpm","FALSE","noscience","TRUE",
"mound","FALSE","one","mound",1,"TRUE","mound","FALSE","noscience","TRUE",
"mouse unit","FALSE","one","mouse unit",1,"TRUE","mouse unit","FALSE","noscience","TRUE",
"disk","FALSE","one","disk",1,"TRUE","disk","FALSE","noscience","TRUE",
"cc","FALSE","one","cocoon",1,"TRUE","cocoon","FALSE","noscience","TRUE",
"cell","FALSE","one","cell",1,"TRUE","cell","FALSE","noscience","TRUE",
"dose","FALSE","one","dose",1,"TRUE","dose","FALSE","noscience","TRUE",
"em","FALSE","one","embryo",1,"TRUE","embryo","FALSE","noscience","TRUE",
"granules","FALSE","one","granule",1,"TRUE","granule","FALSE","noscience","TRUE",
"lf","FALSE","one","leaf",1,"TRUE","leaf","FALSE","noscience","TRUE",
"tank","FALSE","one","tank",1,"TRUE","tank","FALSE","noscience","TRUE",
"tbsp","FALSE","one","tablespoon",1,"TRUE","tablespoon","FALSE","noscience","TRUE",
"Tbsp","FALSE","one","tablespoon",1,"TRUE","tablespoon","FALSE","noscience","TRUE",
"tsp","FALSE","one","teaspoon",1,"TRUE","teaspoon","FALSE","noscience","TRUE",
"u","FALSE","one","unit",1,"TRUE","unit","FALSE","noscience","TRUE",
"U","FALSE","one","unit",1,"TRUE","unit","FALSE","noscience","TRUE",
"unit","FALSE","one","unit",1,"TRUE","unit","FALSE","noscience","TRUE",
"units","FALSE","one","unit",1,"TRUE","unit","FALSE","noscience","TRUE",
"U of fl","FALSE","one","unit of fluorescence",1,"TRUE","unit fluorescence","FALSE","noscience","TRUE",
"ML","FALSE","one","male",1,"TRUE","male","FALSE","noscience","TRUE",
"N","FALSE","one","Normal",1,"TRUE","Normal","FALSE","noscience","TRUE",
"RA","FALSE","one","ratio",1,"TRUE","ratio","FALSE","noscience","TRUE",
"ug-atoms","FALSE","micro gram atoms","atoms",1,"TRUE","ug-atoms","FALSE","noscience","TRUE",
"u-atoms","FALSE","micro atoms","atoms",1,"TRUE","u-atoms","FALSE","noscience","TRUE",
"PIg","FALSE","PI gram","PI gram",1,"TRUE","PIg","FALSE","noscience","TRUE",
"g d","FALSE","one","gram day",1,"FALSE",,,"noscience","TRUE",
"ng eq","FALSE","one","nanogram equivalent",1,"FALSE",,,"noscience","TRUE",
