parameter_group,id,norman_header,norman1,norman2,nor_variable,app_variable,convert,ep_schema,ep_table,ep_variable,epa3_variable,app_variable_name,,status,edi_table,id2,conversion,remark,example
Statistical design,115,Number of organisms per replicate,sample_size_mean,,1,,,ecotox,results,sample_size_mean,sample_size_mean,,,,,,,,
Statistical design,116,Number of replicates per concentration,experimental_design,,1,,,ecotox,tests,experimental_design,experimental_design,,,,,,,,
Statistical design,117,Statistical method used,significance_comments,,1,,,ecotox,results,significance_comments,significance_comments,,,,,,,,
Statistical design,118,Trend,trend,,1,,,ecotox,results,trend,trend,,,,,,,,
Statistical design,119,Significance of result,significance_code,,1,,,ecotox,results,significance_code,significance_code,,,,,,,,
Statistical design,120,Significance level,significance_level_mean,,1,,,ecotox,results,significance_level_mean,significance_level_mean,,,,,,,,
Biological effect,121,Effect concentration qualifier,conc1_qualifier,,1,1,,ecotox,results,conc1_qualifier,conc1_qualifier,conc1_qualifier,,,,,,,
Biological effect,122,Effect concentration,conc1_mean,,1,1,,ecotox,results,conc1_mean,conc1_mean_conv,conc1_mean_conv,,todo (check conversions),,,yes,,
Biological effect,123,Effect concentration unit,conc1_unit,,1,1,,ecotox,results,conc1_unit,conc1_unit_conv,conc1_unit_conv,,todo (check conversions),,,yes,,
Biological effect,124,Estimate of variability for LC and EC data,conc1_var,,1,,,,created,conc1_min+conc1_max,conc1_min+conc1_max,,,,,,,,
Biological effect,125,Concentration based on,conc1_type,,1,1,,ecotox,results,conc1_type,conc1_type,tes_conc1_type,,,,,,,"F, T, A"
Biological effect,126,Other effects,other_effect_comments,,1,,,ecotox,tests,other_effect_comments,other_effect_comments,,,,,,,,
Biological effect,127,Result comment,result_comments,,1,,,ecotox,results,additional_comments+test_characteristics,additional_comments+test_characteristics,,,,,,,,
Biological effect,128,Test result plausible and consistent with other findings,test_plausability,,1,,,,,n.a.,,,,,,,,,
Biological effect,129,Dose-response reported in figure/text/table,drm_text,,1,,,,,n.a.,,,,todo,,,,,
Evaluation,130,Each effect concentration explicitly related to a biological response,biological_response,,1,,,ecotox,tests,endpoint,endpoint,,,,,,,,
Evaluation,131,Availability of raw data,raw_data_availability,,1,,,,created,,,,,,,,,,
Evaluation,133,General Comment,comment_general,,1,,,,created,tes_additional_comments+res_additional_comments,tes_additional_comments+res_additional_comments,,,,,,,,
Evaluation,134,Exisiting Relyability Score,rely_score,,1,,,,created,n.a.,n.a.,,,,,,,,
Evaluation,135,Reliability score system used,rely_score_system,,1,,,,created,n.a.,n.a.,,,,,,,,
Evaluation,136,Existing rational reliability,rely_rational,,1,,,,created,n.a.,n.a.,,,,,,,,
Evaluation,137,Regulatory purpose,regulatory_purpose,,1,,,,created,n.a.,n.a.,,,,,,,,
Evaluation,138,Final cell density of control group,cell_density_fin,,1,,,,created,n.a.,n.a.,,,,,,,,
Evaluation,139,Purpose flag,purpose_flag,,1,,,,created,n.a.,n.a.,,,,,,,,
Evaluation,140,Affiliation issuing the reliabilty score,rely_affiliation,,1,,,,created,n.a.,n.a.,,,,,,,,
Evaluation,141,Deformed or abnormal cells / organism,cell_abnormal,,1,,,,created,n.a.,n.a.,,,,,,,,
Evaluation,142,Negative control used?,control_negative,,1,,,,created,,,,,,,,,,
Evaluation,143,Response site,resp_description,,1,,,ecotox,response_site_codes,description,description,,,,,,,,
Evaluation,144,Final body length of control group,organism_lth_fin,,1,,,,,n.a.,n.a.,,,,,,,,
Evaluation,145,Lipid method,lipid_method,,1,,,,,n.a.,n.a.,,,,,,,,
Evaluation,147,Ecotox DS ID,ecotox_ds_id,,1,,,,,n.a.,n.a.,,,,,,,,
