conc1_unit,u1,u2,u3,u4,n,u1cl,u2cl,u3cl,u4cl,u1num,u2num,u3num,u4num,nas,conc1_info,u1type,u2type,u3type,u4type,conc1_unit_clean,type,convert,multiplier,unit_conv
ug/l soil,ug,l,,,6,ug,l,,,,,,,2,soil,mass,volume,,,ug/l,mass/volume,TRUE,1,ug/l
g/wk,g,wk,,,6,g,wk,,,,,,,2,,mass,time,,,g/wk,mass/time,FALSE,,
% g,% g,,,,6,%,,,,,,,,3,,percentage,,,,%,percentage,FALSE,,
PIg/L,pig,l,,,6,g,l,,,,,,,2,,mass,volume,,,g/l,mass/volume,TRUE,1e+06,ug/l
ug/50 ml,ug,50 ml,,,6,ug,ml,,,,50,,,2,,mass,volume,,,ug/ml,mass/volume,TRUE,20,ug/l
IU/L,iu,l,,,6,iu,l,,,,,,,2,,noscience,volume,,,iu/l,noscience/volume,FALSE,,
ml/org/d,ml,org,d,,6,ml,org,d,,,,,,1,,volume,organism,time,,ml/org/d,volume/organism/time,FALSE,,
g/1000 kg food,g,1000 kg,,,6,g,kg,,,,1000,,,2,food,mass,mass,,,g/kg,mass/mass,TRUE,1e-06,g/g
ug/mm3,ug,mm3,,,6,ug,mm3,,,,,,,2,,mass,volume,,,ug/mm3,mass/volume,TRUE,1e+06,ug/l
lb bt/acre,lb ,acre,,,6,lb,acre,,,,,,,2,bt,mass,area,,,lb/acre,mass/area,TRUE,0.112084667279431,g/m2
ppm/d/kg bdwt,ppm,d,kg,,6,ppm,d,kg,,,,,,1,bdwt,fraction,time,mass,,ppm/d/kg,fraction/time/mass,FALSE,,
ug/10 g bdwt,ug,10 g,,,6,ug,g,,,,10,,,2,bdwt,mass,mass,,,ug/g,mass/mass,TRUE,1e-07,g/g
% mg,% mg,,,,6,%,,,,,,,,3,,percentage,,,,%,percentage,FALSE,,
g% w/v,g% w,v,,,6,g,v,,,,,,,2,,mass,volume,,,g/v,mass/volume,FALSE,,
AI g/304.8 m,g,304.8 m,,,6,g,m,,,,304.8,,,2,,mass,length,,,g/m,mass/length,TRUE,3.28083989501312e-05,g/cm
AI oz/25lbs bdwt,oz,25lbs,,,6,oz,lb,,,,25,,,2,bdwt,volume,mass,,,oz/lb,volume/mass,TRUE,0.00260793904006807,ml/g
g/305 m,g,305 m,,,6,g,m,,,,305,,,2,,mass,length,,,g/m,mass/length,TRUE,3.27868852459016e-05,g/cm
U/kg dry diet,u,kg,,,6,u,kg,,,,,,,2,dry,noscience,mass,,,u/kg,noscience/mass,FALSE,,
mg/10g,mg,10g,,,6,mg,g,,,,10,,,2,,mass,mass,,,mg/g,mass/mass,TRUE,1e-04,g/g
AI oz/lb seed,oz,lb seed,,,6,oz,lb,,,,,,,2,,volume,mass,,,oz/lb,volume/mass,TRUE,0.0651984760017017,ml/g
kg/L,kg,l,,,6,kg,l,,,,,,,2,,mass,volume,,,kg/l,mass/volume,TRUE,1e+09,ug/l
L/0.4 ha,l,0.4 ha,,,6,l,ha,,,,0.4,,,2,,volume,area,,,l/ha,volume/area,TRUE,0.25,ml/m2
m3/ha,m3,ha,,,6,m3,ha,,,,,,,2,,volume,area,,,m3/ha,volume/area,TRUE,100,ml/m2
g/1.8kg sd,g,1.8kg sd,,,6,g,kg,,,,1.8,,,2,,mass,mass,,,g/kg,mass/mass,TRUE,0.000555555555555556,g/g
g/1000 g,g,1000 g,,,6,g,g,,,,1000,,,2,,mass,mass,,,g/g,mass/mass,TRUE,0.001,g/g
ng/g dry fd,ng,g,,,6,ng,g,,,,,,,2,dry,mass,mass,,,ng/g,mass/mass,TRUE,1e-09,g/g
ml/45 mi,ml,45 mi,,,6,ml,mi,,,,45,,,2,,volume,time,,,ml/mi,volume/time,FALSE,,
dpm/800g soil,dpm,800g,,,6,dpm,g,,,,800,,,2,soil,radioactivity,mass,,,dpm/g,radioactivity/mass,FALSE,,
ae mg/org,mg,org,,,6,mg,org,,,,,,,2,ae,mass,organism,,,mg/org,mass/organism,FALSE,,
mCi,mci,,,,6,mci,,,,,,,,3,,radioactivity,,,,mCi,radioactivity,FALSE,,
g/1.6 kg soil,g,1.6 kg,,,6,g,kg,,,,1.6,,,2,soil,mass,mass,,,g/kg,mass/mass,TRUE,0.000625,g/g
ai mg/kg seed,mg,kg seed,,,6,mg,kg,,,,,,,2,ai ,mass,mass,,,mg/kg,mass/mass,TRUE,1e-06,g/g
AI cm3/eu,cm3,eu,,,6,cm3,eu,,,,,,,2,,volume,experimentalunit,,,cm3/eu,volume/experimentalunit,FALSE,,
ul/720 ml,ul,720 ml,,,6,ul,ml,,,,720,,,2,,volume,volume,,,ul/ml,volume/volume,TRUE,0.00138888888888889,ml/l
ml/2.54 cm tkdi,ml,2.54 cm tkdi,,,6,ml,cm,,,,2.54,,,2,,volume,length,,,ml/cm,volume/length,TRUE,0.393700787401575,ml/cm
AI mg/kg bdwt EU,mg,kg  eu,,,6,mg,kg,,,,,,,2,bdwt,mass,mass,,,mg/kg,mass/mass,TRUE,1e-06,g/g
AI g/454.6 L/0.4 ha,g,454.6 l,0.4 ha,,6,g,l,ha,,,454.6,0.4,,1,,mass,volume,area,,g/l/ha,mass/volume/area,FALSE,,
ml/1150 ml,ml,1150 ml,,,6,ml,ml,,,,1150,,,2,,volume,volume,,,ml/ml,volume/volume,TRUE,0.869565217391304,ml/l
cm3/kg sd,cm3,kg sd,,,6,cm3,kg,,,,,,,2,,volume,mass,,,cm3/kg,volume/mass,TRUE,0.001,ml/g
nM/L,nmol,l,l,,6,nmol,l,l,,,,,,1,,mol,volume,volume,,nmol/l/l,mol/volume/volume,FALSE,,
L/ton sd,l,ton sd,,,6,l,t,,,,,,,2,,volume,mass,,,l/t,volume/mass,TRUE,0.001,ml/g
cm3/eu,cm3,eu,,,6,cm3,eu,,,,,,,2,,volume,experimentalunit,,,cm3/eu,volume/experimentalunit,FALSE,,
g/kg dry sd,g,kg  sd,,,6,g,kg,,,,,,,2,dry,mass,mass,,,g/kg,mass/mass,TRUE,0.001,g/g
IU/g diet,iu,g,,,6,iu,g,,,,,,,2,diet,noscience,mass,,,iu/g,noscience/mass,FALSE,,
ug/eu/d,ug,eu,d,,6,ug,eu,d,,,,,,1,,mass,experimentalunit,time,,ug/eu/d,mass/experimentalunit/time,FALSE,,
mg/g in solvent,mg,g in solvent,,,6,mg,g,,,,,,,2,,mass,mass,,,mg/g,mass/mass,TRUE,0.001,g/g
g/10.2 L,g,10.2 l,,,6,g,l,,,,10.2,,,2,,mass,volume,,,g/l,mass/volume,TRUE,98039.2156862745,ug/l
ug/g LD wt,ug,g ld,,,6,ug,g,,,,,,,2, wt,mass,mass,,,ug/g,mass/mass,TRUE,1e-06,g/g
ug/g wet soil,ug,g,,,6,ug,g,,,,,,,2,wet,mass,mass,,,ug/g,mass/mass,TRUE,1e-06,g/g
AI kg/eu,kg,eu,,,6,kg,eu,,,,,,,2,,mass,experimentalunit,,,kg/eu,mass/experimentalunit,FALSE,,
umol/mol,umol,mol,,,6,umol,mol,,,,,,,2,,mol,mol,,,umol/mol,mol/mol,FALSE,,
granules/kg bwt,granules,kg bwt,,,6,g,kg,,,,,,,2,,mass,mass,,,g/kg,mass/mass,TRUE,0.001,g/g
meq,meq,,,,6,meq,,,,,,,,3,,noscience,,,,meq,noscience,FALSE,,
mg/kg/L,mg,kg,l,,5,mg,kg,l,,,,,,1,,mass,mass,volume,,mg/kg/l,mass/mass/volume,FALSE,,
AI %/ha,%,ha,,,5,%,ha,,,,,,,2,,percentage,area,,,%/ha,percentage/area,FALSE,,
AI ml/kg,ml,kg,,,5,ml,kg,,,,,,,2,,volume,mass,,,ml/kg,volume/mass,TRUE,0.001,ml/g
g/kg bdwt/h,g,kg ,h,,5,g,kg,h,,,,,,1,bdwt,mass,mass,time,,g/kg/h,mass/mass/time,FALSE,,
AI g/m2 canopy,g,m2,,,5,g,m2,,,,,,,2,canopy,mass,area,,,g/m2,mass/area,TRUE,1,g/m2
AI ml/kg diet,ml,kg,,,5,ml,kg,,,,,,,2,diet,volume,mass,,,ml/kg,volume/mass,TRUE,0.001,ml/g
g/3.75 L,g,3.75 l,,,5,g,l,,,,3.75,,,2,,mass,volume,,,g/l,mass/volume,TRUE,266666.666666667,ug/l
ul/10 ml ,ul,10 ml,,,5,ul,ml,,,,10,,,2,,volume,volume,,,ul/ml,volume/volume,TRUE,0.1,ml/l
AI ml/100 gal,ml,100 gal,,,5,ml,gal,,,,100,,,2,,volume,volume,,,ml/gal,volume/volume,FALSE,,
pg/g TI,pg,g ti,,,5,pg,g,,,,,,,2,,mass,mass,,,pg/g,mass/mass,TRUE,1e-12,g/g
umol/kg egg,umol,kg,,,5,umol,kg,,,,,,,2, egg,mol,mass,,,umol/kg,mol/mass,TRUE,1e-09,mol/g
mg/10g bdwt,mg,10g,,,5,mg,g,,,,10,,,2,bdwt,mass,mass,,,mg/g,mass/mass,TRUE,1e-04,g/g
AI kg/3741 L/ha,kg,3741 l,ha,,5,kg,l,ha,,,3741,,,1,,mass,volume,area,,kg/l/ha,mass/volume/area,FALSE,,
ml/25 L,ml,25 l,,,5,ml,l,,,,25,,,2,,volume,volume,,,ml/l,volume/volume,TRUE,0.04,ml/l
mg/10 g soil,mg,10 g,,,5,mg,g,,,,10,,,2,soil,mass,mass,,,mg/g,mass/mass,TRUE,1e-04,g/g
kg/10 ac,kg,10 acre,,,5,kg,acre,,,,10,,,2,,mass,area,,,kg/acre,mass/area,TRUE,0.0247104393046628,g/m2
ml/quintal,ml,quintal,,,5,ml,u,,,,,,,2,,volume,noscience,,,ml/u,volume/noscience,FALSE,,
mosmols/l,mosmols,l,,,5,m,l,,,,,,,2,,length,volume,,,m/l,length/volume,FALSE,,
MBq,mbq,,,,5,mbq,,,,,,,,3,,radioactivity,,,,mBq,radioactivity,FALSE,,
mg/sd,mg,sd,,,5,mg,sd,,,,,,,2,,mass,noscience,,,mg/sd,mass/noscience,FALSE,,
mg/g dry wt,mg,g,,,5,mg,g,,,,,,,2,dry,mass,mass,,,mg/g,mass/mass,TRUE,0.001,g/g
g/16 L,g,16 l,,,5,g,l,,,,16,,,2,,mass,volume,,,g/l,mass/volume,TRUE,62500,ug/l
IU/100 g bdwt,iu,100 g,,,5,iu,g,,,,100,,,2,bdwt,noscience,mass,,,iu/g,noscience/mass,FALSE,,
pmol/g egg,pmol,g,,,5,pmol,g,,,,,,,2, egg,mol,mass,,,pmol/g,mol/mass,TRUE,1e-12,mol/g
AI g/0.405 ha,g,0.405 ha,,,5,g,ha,,,,0.405,,,2,,mass,area,,,g/ha,mass/area,TRUE,0.000246913580246914,g/m2
mS/cm,ms,cm,,,5,m,cm,,,,,,,2,,length,length,,,m/cm,length/length,FALSE,,
g/1.2 kg soil,g,1.2 kg,,,5,g,kg,,,,1.2,,,2,soil,mass,mass,,,g/kg,mass/mass,TRUE,0.000833333333333333,g/g
AI ml/org,ml,org,,,5,ml,org,,,,,,,2,,volume,organism,,,ml/org,volume/organism,FALSE,,
AI fl oz/acre,fl oz,acre,,,5,fl oz,acre,,,,,,,2,,volume,area,,,fl oz/acre,volume/area,FALSE,,
RA,ra,,,,5,ra,,,,,,,,3,,ratio,,,,ra,ratio,FALSE,,
g/plot,g,plot,,,5,g,plot,,,,,,,2,,mass,noscience,,,g/plot,mass/noscience,FALSE,,
ml/mi,ml,mi,,,5,ml,mi,,,,,,,2,,volume,time,,,ml/mi,volume/time,FALSE,,
AI g/10 L,g,10 l,,,5,g,l,,,,10,,,2,,mass,volume,,,g/l,mass/volume,TRUE,1e+05,ug/l
AI ppmw/soil vol,ppmw, vol,,,5,ppm,v,,,,,,,2,soil,fraction,volume,,,ppm/v,fraction/volume,FALSE,,
ul/100 g bdwt,ul,100 g,,,5,ul,g,,,,100,,,2,bdwt,volume,mass,,,ul/g,volume/mass,TRUE,1e-05,ml/g
ul/300 ml,ul,300 ml,,,5,ul,ml,,,,300,,,2,,volume,volume,,,ul/ml,volume/volume,TRUE,0.00333333333333333,ml/l
AI g/93 m2,g,93 m2,,,5,g,m2,,,,93,,,2,,mass,area,,,g/m2,mass/area,TRUE,0.010752688172043,g/m2
g/dl,g,dl,,,5,g,d,,,,,,,2,,mass,time,,,g/d,mass/time,TRUE,1,g/d
g/1000 L,g,1000 l,,,5,g,l,,,,1000,,,2,,mass,volume,,,g/l,mass/volume,TRUE,1000,ug/l
AI lb/100 ft2,lb,100 ft2,,,4,lb,ft2,,,,100,,,2,,mass,area,,,lb/ft2,mass/area,TRUE,48.8242763638305,g/m2
ml/81.8 kg wet media,ml,81.8 kg,,,4,ml,kg,,,,81.8,,,2,wet,volume,mass,,,ml/kg,volume/mass,TRUE,1.22249388753056e-05,ml/g
ml/50 kg seed,ml,50 kg seed,,,4,ml,kg,,,,50,,,2,,volume,mass,,,ml/kg,volume/mass,TRUE,2e-05,ml/g
ml/50 gal,ml,50 gal,,,4,ml,gal,,,,50,,,2,,volume,volume,,,ml/gal,volume/volume,FALSE,,
L/mg,l,mg,,,4,l,mg,,,,,,,2,,volume,mass,,,l/mg,volume/mass,TRUE,1e+06,ml/g
ug/250 g bdwt,ug,250 g,,,4,ug,g,,,,250,,,2,bdwt,mass,mass,,,ug/g,mass/mass,TRUE,4e-09,g/g
mmol/m2,mmol,m2,,,4,mmol,m2,,,,,,,2,,mol,area,,,mmol/m2,mol/area,FALSE,,
g/1000 g food,g,1000 g,,,4,g,g,,,,1000,,,2,food,mass,mass,,,g/g,mass/mass,TRUE,0.001,g/g
ml/25 ft,ml,25 ft,,,4,ml,ft,,,,25,,,2,,volume,length,,,ml/ft,volume/length,TRUE,0.00131233595800525,ml/cm
% v/w,% v,w,,,4,% v,w,,,,,,,2,,percentage,noscience,,,% v/w,percentage/noscience,FALSE,,
ml/10.2 L,ml,10.2 l,,,4,ml,l,,,,10.2,,,2,,volume,volume,,,ml/l,volume/volume,TRUE,0.0980392156862745,ml/l
AI %/786 L,%,786 l,,,4,%,l,,,,786,,,2,,percentage,volume,,,%/l,percentage/volume,FALSE,,
mol/org,mol,org,,,4,mol,org,,,,,,,2,,mol,organism,,,mol/org,mol/organism,FALSE,,
umol/g soil,umol,g,,,4,umol,g,,,,,,,2,soil,mol,mass,,,umol/g,mol/mass,TRUE,1e-06,mol/g
kg/100 kg sd,kg,100 kg sd,,,4,kg,kg,,,,100,,,2,,mass,mass,,,kg/kg,mass/mass,TRUE,0.01,g/g
fl oz/in dbh,fl oz,in dbh,,,4,fl oz,n,,,,,,,2,,volume,noscience,,,fl oz/n,volume/noscience,FALSE,,
AI mg/0.1 m2,mg,0.1 m2,,,4,mg,m2,,,,0.1,,,2,,mass,area,,,mg/m2,mass/area,TRUE,0.01,g/m2
ml/100g sd,ml,100g sd,,,4,ml,g,,,,100,,,2,,volume,mass,,,ml/g,volume/mass,TRUE,0.01,ml/g
fl oz/cwt,fl oz,cwt,,,4,fl oz,cwt,,,,,,,2,,volume,noscience,,,fl oz/cwt,volume/noscience,FALSE,,
ng/g/d,ng,g,d,,4,ng,g,d,,,,,,1,,mass,mass,time,,ng/g/d,mass/mass/time,FALSE,,
lb/40 gal,lb,40 gal,,,4,lb,gal,,,,40,,,2,,mass,volume,,,lb/gal,mass/volume,FALSE,,
USP/org,usp,org,,,4,u,org,,,,,,,2,,noscience,organism,,,u/org,noscience/organism,FALSE,,
AI %/100 kg sd,%,100 kg sd,,,4,%,kg,,,,100,,,2,,percentage,mass,,,%/kg,percentage/mass,FALSE,,
ng/mi/kg bdwt,ng,mi,kg,,4,ng,mi,kg,,,,,,1,bdwt,mass,time,mass,,ng/mi/kg,mass/time/mass,FALSE,,
gal/gal,gal,gal,,,4,gal,gal,,,,,,,2,,volume,volume,,,gal/gal,volume/volume,TRUE,1000,ml/l
AI g/10kg sd,g,10kg sd,,,4,g,kg,,,,10,,,2,,mass,mass,,,g/kg,mass/mass,TRUE,1e-04,g/g
nl/org,nl,org,,,4,nl,org,,,,,,,2,,volume,organism,,,nl/org,volume/organism,FALSE,,
g/feddan,g,feddan,,,4,g,feddan,,,,,,,2,,mass,area,,,g/feddan,mass/area,FALSE,,
g/h,g,h,,,4,g,h,,,,,,,2,,mass,time,,,g/h,mass/time,TRUE,24,g/d
g/kg*e0.75 bdwt,g,kg*e0.75,,,4,g,kg,,,,0.75,,,2,bdwt,mass,mass,,,g/kg,mass/mass,TRUE,0.00133333333333333,g/g
nmol/g TI,nmol,g ti,,,4,nmol,g,,,,,,,2,,mol,mass,,,nmol/g,mol/mass,TRUE,1e-09,mol/g
cm3/0.7 ha,cm3,0.7 ha,,,4,cm3,ha,,,,0.7,,,2,,volume,area,,,cm3/ha,volume/area,TRUE,0.000142857142857143,ml/m2
no/eu,no,eu,,,4,no,eu,,,,,,,2,,amount,experimentalunit,,,no/eu,amount/experimentalunit,FALSE,,
Ci/mol,ci,mol,,,4,ci,mol,,,,,,,2,,radioactivity,mol,,,Ci/mol,radioactivity/mol,FALSE,,
Ci/mmol,ci,mmol,,,4,ci,mmol,,,,,,,2,,radioactivity,mol,,,Ci/mmol,radioactivity/mol,FALSE,,
g/ml/eu,g,ml,eu,,4,g,ml,eu,,,,,,1,,mass,volume,experimentalunit,,g/ml/eu,mass/volume/experimentalunit,FALSE,,
M/dm3,mol,l,dm3,,4,mol,l,dm3,,,,,,1,,mol,volume,volume,,mol/l/dm3,mol/volume/volume,FALSE,,
mg/dl,mg,dl,,,4,mg,d,,,,,,,2,,mass,time,,,mg/d,mass/time,TRUE,0.001,g/d
L/161 m soil,l,161 m,,,4,l,m,,,,161,,,2,soil,volume,length,,,l/m,volume/length,TRUE,0.062111801242236,ml/cm
pg/g diet,pg,g,,,4,pg,g,,,,,,,2,diet,mass,mass,,,pg/g,mass/mass,TRUE,1e-12,g/g
meq/g,meq,g,,,4,meq,g,,,,,,,2,,noscience,mass,,,meq/g,noscience/mass,FALSE,,
AI ug/kg dry media,ug,kg,,,4,ug,kg,,,,,,,2,dry,mass,mass,,,ug/kg,mass/mass,TRUE,1e-09,g/g
mg/15 g fd,mg,15 g,,,4,mg,g,,,,15,,,2,fd,mass,mass,,,mg/g,mass/mass,TRUE,6.66666666666667e-05,g/g
L/160 m soil,l,160 m,,,4,l,m,,,,160,,,2,soil,volume,length,,,l/m,volume/length,TRUE,0.0625,ml/cm
mg/10 L,mg,10 l,,,4,mg,l,,,,10,,,2,,mass,volume,,,mg/l,mass/volume,TRUE,100,ug/l
pmol/org,pmol,org,,,4,pmol,org,,,,,,,2,,mol,organism,,,pmol/org,mol/organism,FALSE,,
AI ug/120g soil,ug,120g,,,4,ug,g,,,,120,,,2,soil,mass,mass,,,ug/g,mass/mass,TRUE,8.33333333333334e-09,g/g
ppm/100g bdwt/d,ppm,100g ,d,,4,ppm,g,d,,,100,,,1,bdwt,fraction,mass,time,,ppm/g/d,fraction/mass/time,FALSE,,
AI mg/g wet wt fd,mg,g,,,4,mg,g,,,,,,,2,wet,mass,mass,,,mg/g,mass/mass,TRUE,0.001,g/g
AI g/30.5 cm ht,g,30.5 cm,,,4,g,cm,,,,30.5,,,2,ht,mass,length,,,g/cm,mass/length,TRUE,0.0327868852459016,g/cm
L/1.5 cm3 soil,l,1.5 cm3,,,4,l,cm3,,,,1.5,,,2,soil,volume,volume,,,l/cm3,volume/volume,TRUE,666666.666666667,ml/l
AI ml/378 L,ml,378 l,,,4,ml,l,,,,378,,,2,,volume,volume,,,ml/l,volume/volume,TRUE,0.00264550264550265,ml/l
mg/100lb/d,mg,100lb,d,,4,mg,lb,d,,,100,,,1,,mass,mass,time,,mg/lb/d,mass/mass/time,FALSE,,
AI mg/ha,mg,ha,,,4,mg,ha,,,,,,,2,,mass,area,,,mg/ha,mass/area,TRUE,1e-07,g/m2
AI ng/org/d,ng,org,d,,4,ng,org,d,,,,,,1,,mass,organism,time,,ng/org/d,mass/organism/time,FALSE,,
mg %,mg %,,,,4,mg,,,,,,,,3,,mass,,,,mg,mass,TRUE,0.001,g
U of fl,u of fl,,,,4,u,,,,,,,,3,,noscience,,,,u,noscience,FALSE,,
tsp/mound,tsp,mound,,,4,t,m,,,,,,,2,,mass,length,,,t/m,mass/length,TRUE,10000,g/cm
mg/%,mg,%,,,4,mg,%,,,,,,,2,,mass,percentage,,,mg/%,mass/percentage,FALSE,,
ul/L/h,ul,l,h,,4,ul,l,h,,,,,,1,,volume,volume,time,,ul/l/h,volume/volume/time,FALSE,,
ug/cm2 lf,ug,cm2 lf,,,4,ug,cm2,,,,,,,2,,mass,area,,,ug/cm2,mass/area,TRUE,0.01,g/m2
AI g/400 m2,g,400 m2,,,4,g,m2,,,,400,,,2,,mass,area,,,g/m2,mass/area,TRUE,0.0025,g/m2
g/2 L,g,2 l,,,4,g,l,,,,2,,,2,,mass,volume,,,g/l,mass/volume,TRUE,5e+05,ug/l
AI g/60000 sd,g,60000 sd,,,4,g,sd,,,,60000,,,2,,mass,noscience,,,g/sd,mass/noscience,FALSE,,
kg/100 m2,kg,100 m2,,,4,kg,m2,,,,100,,,2,,mass,area,,,kg/m2,mass/area,TRUE,10,g/m2
lit,lit,,,,4,l,,,,,,,,3,,volume,,,,l,volume,TRUE,1000,ml
g/200 kg sd ,g,200 kg sd,,,4,g,kg,,,,200,,,2,,mass,mass,,,g/kg,mass/mass,TRUE,5e-06,g/g
ml/dm2,ml,dm2,,,4,ml,d,,,,,,,2,,volume,time,,,ml/d,volume/time,TRUE,1,ml/d
ml/d,ml,d,,,4,ml,d,,,,,,,2,,volume,time,,,ml/d,volume/time,TRUE,1,ml/d
oz/10 gal/acre,oz,10 gal,acre,,3,oz,gal,acre,,,10,,,1,,volume,volume,area,,oz/gal/acre,volume/volume/area,FALSE,,
AI ng/cm2 lf,ng,cm2 lf,,,3,ng,cm2,,,,,,,2,,mass,area,,,ng/cm2,mass/area,TRUE,1e-05,g/m2
fl oz mat/cwt,fl oz mat,cwt,,,3,fl oz,cwt,,,,,,,2,,volume,noscience,,,fl oz/cwt,volume/noscience,FALSE,,
ml/100 m2,ml,100 m2,,,3,ml,m2,,,,100,,,2,,volume,area,,,ml/m2,volume/area,TRUE,0.01,ml/m2
ug/2.5 ul/h,ug,2.5 ul,h,,3,ug,ul,h,,,2.5,,,1,,mass,volume,time,,ug/ul/h,mass/volume/time,FALSE,,
lb/ft2,lb,ft2,,,3,lb,ft2,,,,,,,2,,mass,area,,,lb/ft2,mass/area,TRUE,4882.42763638305,g/m2
cc,cm2,,,,3,cm2,,,,,,,,3,,area,,,,cm2,area,FALSE,,
mg/g bdwt/d,mg,g ,d,,3,mg,g,d,,,,,,1,bdwt,mass,mass,time,,mg/g/d,mass/mass/time,FALSE,,
org,org,,,,3,org,,,,,,,,3,,organism,,,,org,organism,FALSE,,
umol/100 g,umol,100 g,,,3,umol,g,,,,100,,,2,,mol,mass,,,umol/g,mol/mass,TRUE,1e-08,mol/g
cm3/100 L,cm3,100 l,,,3,cm3,l,,,,100,,,2,,volume,volume,,,cm3/l,volume/volume,TRUE,0.01,ml/l
nmol/g soil,nmol,g,,,3,nmol,g,,,,,,,2,soil,mol,mass,,,nmol/g,mol/mass,TRUE,1e-09,mol/g
cm3/4L,cm3,4l,,,3,cm3,l,,,,4,,,2,,volume,volume,,,cm3/l,volume/volume,TRUE,0.25,ml/l
AI mmol/dm3,mmol,dm3,,,3,mmol,dm3,,,,,,,2,,mol,volume,,,mmol/dm3,mol/volume,TRUE,0.001,mol/l
g/km,g,km,,,3,g,m,,,,,,,2,,mass,length,,,g/m,mass/length,TRUE,0.01,g/cm
AI ml/t,ml,t,,,3,ml,t,,,,,,,2,,volume,mass,,,ml/t,volume/mass,TRUE,1e-06,ml/g
ul/g dry soil,ul,g,,,3,ul,g,,,,,,,2,dry,volume,mass,,,ul/g,volume/mass,TRUE,0.001,ml/g
g/cm dbh,g,cm dbh,,,3,g,cm,,,,,,,2,,mass,length,,,g/cm,mass/length,TRUE,1,g/cm
g/10 gal/acre,g,10 gal,acre,,3,g,gal,acre,,,10,,,1,,mass,volume,area,,g/gal/acre,mass/volume/area,FALSE,,
g/cm,g,cm,,,3,g,cm,,,,,,,2,,mass,length,,,g/cm,mass/length,TRUE,1,g/cm
AI g/10 acres,g,10 acres,,,3,g,acre,,,,10,,,2,,mass,area,,,g/acre,mass/area,TRUE,2.47104393046628e-05,g/m2
umol/kg org,umol,kg org,,,3,umol,kg,,,,,,,2,,mol,mass,,,umol/kg,mol/mass,TRUE,1e-09,mol/g
AI mg/g,mg,g,,,3,mg,g,,,,,,,2,,mass,mass,,,mg/g,mass/mass,TRUE,0.001,g/g
mm3/dm3,mm3,dm3,,,3,mm3,dm3,,,,,,,2,,volume,volume,,,mm3/dm3,volume/volume,TRUE,0.001,ml/l
ug/0.1 ml/d/org,ug,0.1 ml,d,org,3,ug,ml,d,org,,0.1,,,0,,mass,volume,time,organism,ug/ml/d/org,mass/volume/time/organism,FALSE,,
kJ/kg bdwt/d,kj,kg ,d,,3,kj,kg,d,,,,,,1,bdwt,energy,mass,time,,kj/kg/d,energy/mass/time,FALSE,,
ng/mg fd,ng,mg,,,3,ng,mg,,,,,,,2,fd,mass,mass,,,ng/mg,mass/mass,TRUE,1e-06,g/g
AI ml/m2 canopy,ml,m2,,,3,ml,m2,,,,,,,2,canopy,volume,area,,,ml/m2,volume/area,TRUE,1,ml/m2
g/27 kg sd,g,27 kg sd,,,3,g,kg,,,,27,,,2,,mass,mass,,,g/kg,mass/mass,TRUE,3.7037037037037e-05,g/g
gal/cwt,gal,cwt,,,3,gal,cwt,,,,,,,2,,volume,noscience,,,gal/cwt,volume/noscience,FALSE,,
mg/kg wet wt,mg,kg,,,3,mg,kg,,,,,,,2,wet,mass,mass,,,mg/kg,mass/mass,TRUE,1e-06,g/g
AI lb/cwt sd,lb,cwt sd,,,3,lb,cwt,,,,,,,2,,mass,noscience,,,lb/cwt,mass/noscience,FALSE,,
gal,gal,,,,3,gal,,,,,,,,3,,volume,,,,gal,volume,FALSE,,
lb/rod2,lb,rod2,,,3,lb,d,,,,,,,2,,mass,time,,,lb/d,mass/time,TRUE,453.59237,g/d
mg/mi,mg,mi,,,3,mg,mi,,,,,,,2,,mass,time,,,mg/mi,mass/time,FALSE,,
AI g bt,g,,,,3,g,,,,,,,,3,bt,mass,,,,g,mass,TRUE,1,g
AI gal/100gal/acre,gal,100gal,acre,,3,gal,gal,acre,,,100,,,1,,volume,volume,area,,gal/gal/acre,volume/volume/area,FALSE,,
ul/0.5 m2,ul,0.5 m2,,,3,ul,m2,,,,0.5,,,2,,volume,area,,,ul/m2,volume/area,TRUE,0.002,ml/m2
ICU/kg diet,icu,kg,,,3,icu,kg,,,,,,,2,diet,noscience,mass,,,icu/kg,noscience/mass,FALSE,,
mg/quintal,mg,quintal,,,3,mg,u,,,,,,,2,,mass,noscience,,,mg/u,mass/noscience,FALSE,,
fl oz/1000 ft2,fl oz,1000 ft2,,,3,fl oz,ft2,,,,1000,,,2,,volume,area,,,fl oz/ft2,volume/area,FALSE,,
ai ml/100m2,ml,100m2,,,3,ml,m2,,,,100,,,2,ai ,volume,area,,,ml/m2,volume/area,TRUE,0.01,ml/m2
AI ug/kg wet media,ug,kg,,,3,ug,kg,,,,,,,2,wet,mass,mass,,,ug/kg,mass/mass,TRUE,1e-09,g/g
mg/20 cm3,mg,20 cm3,,,3,mg,cm3,,,,20,,,2,,mass,volume,,,mg/cm3,mass/volume,TRUE,50000,ug/l
g/1.7 kg soil,g,1.7 kg,,,3,g,kg,,,,1.7,,,2,soil,mass,mass,,,g/kg,mass/mass,TRUE,0.000588235294117647,g/g
mBq,mbq,,,,3,mbq,,,,,,,,3,,radioactivity,,,,mBq,radioactivity,FALSE,,
