conc1_unit,u1,u2,u3,u4,n,u1cl,u2cl,u3cl,u4cl,u1num,u2num,u3num,u4num,nas,conc1_info,u1type,u2type,u3type,u4type,conc1_unit_clean,type,convert,multiplier,unit_conv
AI oz/100 lb sd,oz,100 lb sd,,,11,oz,lb,,,,100,,,2,,volume,mass,,,oz/lb,volume/mass,TRUE,0.000651984760017017,ml/g
mg/2.5 cm dia,mg,2.5 cm dia,,,11,mg,cm,,,,2.5,,,2,,mass,length,,,mg/cm,mass/length,TRUE,4e-04,g/cm
units,units,,,,11,unit,,,,,,,,3,,noscience,,,,unit,noscience,FALSE,,
mg/500 g soil,mg,500 g,,,11,mg,g,,,,500,,,2,soil,mass,mass,,,mg/g,mass/mass,TRUE,2e-06,g/g
AI ml/1000 L,ml,1000 l,,,11,ml,l,,,,1000,,,2,,volume,volume,,,ml/l,volume/volume,TRUE,0.001,ml/l
mg/dose,mg,dose,,,11,mg,d,,,,,,,2,,mass,time,,,mg/d,mass/time,TRUE,0.001,g/d
ug/cm2/d,ug,cm2,d,,11,ug,cm2,d,,,,,,1,,mass,area,time,,ug/cm2/d,mass/area/time,FALSE,,
ml/8 L,ml,8 l,,,11,ml,l,,,,8,,,2,,volume,volume,,,ml/l,volume/volume,TRUE,0.125,ml/l
mg/L/d,mg,l,d,,11,mg,l,d,,,,,,1,,mass,volume,time,,mg/l/d,mass/volume/time,FALSE,,
ug/g/kg bdwt,ug,g,kg,,11,ug,g,kg,,,,,,1,bdwt,mass,mass,mass,,ug/g/kg,mass/mass/mass,FALSE,,
ml/10 L soil ,ml,10 l,,,11,ml,l,,,,10,,,2,soil,volume,volume,,,ml/l,volume/volume,TRUE,0.1,ml/l
mg/100g food,mg,100g,,,11,mg,g,,,,100,,,2,food,mass,mass,,,mg/g,mass/mass,TRUE,1e-05,g/g
mmol/kg/h,mmol,kg,h,,11,mmol,kg,h,,,,,,1,,mol,mass,time,,mmol/kg/h,mol/mass/time,FALSE,,
AI oz/in dbh,oz,in dbh,,,11,oz,n,,,,,,,2,,volume,noscience,,,oz/n,volume/noscience,FALSE,,
l/l,l,l,,,10,l,l,,,,,,,2,,volume,volume,,,l/l,volume/volume,TRUE,1000,ml/l
molal,molal,,,,10,mol,,,,,,,,3,,mol,,,,mol,mol,FALSE,,
g/10 L soil,g,10 l,,,10,g,l,,,,10,,,2,soil,mass,volume,,,g/l,mass/volume,TRUE,1e+05,ug/l
