conc1_info,conc1_unit_clean,conv,multiplier,unit_conv,unit_type,result_id,casnr,molecularweight,n,conc1_mean,conc1_unit,conc1_mean2,conc1_unit2,conc1_mean3,conc1_unit3,NOTE
diet,mg/kg,yes,1,mg/kg,mass/mass,2295969,3614082,167.06,1598,1.25,mg/kg diet,1.25,mg/kg,1.25,mg/kg,
,ug/kg,yes,0.001,mg/kg,mass/mass,1050168,138261413,255.66,1585,48,ug/kg,0.048,mg/kg,0.048,mg/kg,
ai,ppm,yes,1000,ppb,fraction,1165988,116063,190.27,1546,592,AI ppm food,592000,ppb,592000,ppb,
dry fd,ug/g,yes,1,mg/kg,mass/mass,2331085,115093,251.08,1541,0.6,ug/g dry fd,0.6,mg/kg,0.6,mg/kg,
,mg,yes,1000,ug,mass,1111677,115297,406.9,1292,1.96,mg,1960,ug,1960,ug,
diet,ug/g,yes,1,mg/kg,mass/mass,770889,7758987,159.61,1288,401.4,ug/g diet,401.4,mg/kg,401.4,mg/kg,
,ng/ml,yes,1,ug/l,mass/volume,2192250,13463677,79.87,1265,10000,ng/ml,10000,ug/l,10000,ug/l,
ae,kg/ha,yes,0.1,g/m2,mass/area,2407509,57754855,253.08,1247,0.5,ae kg/ha,0.05,g/m2,0.05,g/m2,
,ml,yes,1,ml,volume,1199134,4602840,222.37,1241,5,ml,5,ml,5,ml,
dry fd,mg/kg,yes,1,mg/kg,mass/mass,780503,58184,302.5,1220,10,mg/kg dry fd,10,mg/kg,10,mg/kg,
,mg/dm3,yes,1000,ug/l,mass/volume,194685,63231505,,1162,0.45,mg/dm3,450,ug/l,450,ug/l,
,g/kg,yes,1000,mg/kg,mass/mass,2133877,117395,302.23,1131,10,g/kg,10000,mg/kg,10000,mg/kg,
food,ug/g,yes,1,mg/kg,mass/mass,1167440,7758987,159.61,1082,500,ug/g food,500,mg/kg,500,mg/kg,
,nmol/l,yes,1E-09,mol/l,mol/volume,716696,115902,308.4,1080,13.2,nmol/L,4.07088,ug/l,4.07088,ug/l,
,ml/ha,yes,0.0001,ml/m2,volume/area,1157223,60168889,331.2,1032,731.4,ml/ha,0.07314,ml/m2,0.07314,ml/m2,
ai dry soil,mg/kg,yes,1,mg/kg,mass/mass,1097508,17804352,290.32,987,10,AI mg/kg dry soil,10,mg/kg,10,mg/kg,
,g/m2,yes,1,g/m2,mass/area,1027184,91203,128.17,986,18,g/m2,18,g/m2,18,g/m2,
,ug/eu,no,,,mass/noscience,2313132,52315078,416.2966,956,22.2,ug/eu,22.2,ug/eu,,,
sd,g/kg,yes,1000,mg/kg,mass/mass,1096029,10605217,191.1867,945,1.5,g/kg sd,1500,mg/kg,1500,mg/kg,
,% w/v,no,,,fraction/volume,1014714,25567673,202.55,941,0.5,% w/v,0.5,% w/v,,,
,mg/eu,no,,,mass/noscience,2234830,56425913,312.29,938,0.015,mg/eu,0.015,mg/eu,,,
,mol/l,yes,1,mol/l,mol/volume,106139,7775113,161.97,916,3E-05,mol/L,4859.1,ug/l,4859.1,ug/l,
,ng/org,no,,,mass/organism,1062763,39515418,349.4,913,6.9,ng/org,6.9,ng/org,,,
diet,%,yes,10000000,ppb,fraction,2440008,58220,288.4,898,0.1,% of diet,1000000,ppb,1000000,ppb,
AI ,ng/l,yes,0.001,ug/l,mass/volume,2244680,7722841,34.015,885,186,AI ng/L,0.186,ug/l,0.186,ug/l,
AI ,l/ha,yes,0.1,ml/m2,volume/area,1097659,1582098,335.28,869,0.75,AI L/ha,0.075,ml/m2,0.075,ml/m2,
,mg/org,no,,,mass/organism,2000350,608935,250.3,864,20,mg/org,20,mg/org,,,
dry wt,mg/kg,yes,1,mg/kg,mass/mass,2265642,138261413,255.66,861,0.66,mg/kg dry wt,0.66,mg/kg,0.66,mg/kg,
fd,g/kg,yes,1000,mg/kg,mass/mass,1233334,7786814,154.76,842,2.7,g/kg fd,2700,mg/kg,2700,mg/kg,
,ug/m3,yes,0.001,ug/l,mass/volume,1082318,7664417,17.031,809,100,ug/m3,0.1,ug/l,0.1,ug/l,
,g/eu,no,,,mass/noscience,1148322,116063,190.27,806,1.2,g/eu,1.2,g/eu,,,
,mg/d,yes,0.001,g/d,mass/time,1153085,1314132,81.4,806,1589,mg/d,1.589,g/d,1.589,g/d,
AI ,g/l,yes,10000,ug/l,mass/volume,2221463,25606411,224.73,792,180,AI g/100 L,1800000,ug/l,1800000,ug/l,
ai ,g/kg,yes,1000,mg/kg,mass/mass,1093700,133062,300.6,787,100,ai g/kg sd,100000,mg/kg,100000,mg/kg,
AI ,g/m2,yes,1,g/m2,mass/area,1162578,116063,190.27,760,0.85,AI g/m2,0.85,g/m2,0.85,g/m2,
,% w/w,no,,,fraction/noscience,1099037,7681110,166.003,754,0.05,% w/w,0.05,% w/w,,,
bdwt,ug/kg,yes,0.001,mg/kg,mass/mass,744202,564352,302.4,736,20,ug/kg bdwt,0.02,mg/kg,0.02,mg/kg,
ai bdwt,mg/kg,yes,1,mg/kg,mass/mass,1041706,81812,308.3,718,111.1,AI mg/kg bdwt,111.1,mg/kg,111.1,mg/kg,
,oz/acre,no,,,noscience/area,2351033,96489713,364.9,704,5.3,oz/acre,5.3,oz/acre,,,
