conc1_info,conc1_unit_clean,conv,multiplier,unit_conv,unit_type,result_id,casnr,molecularweight,n,conc1_mean,conc1_unit,conc1_mean2,conc1_unit2,conc1_mean3,conc1_unit3,NOTE
,mg/g/d,no,,,mass/mass/time,1002224,54115,162.23,148,0.2,mg/100g bw/d,0.2,mg/100g bw/d,,,
,mg/g,yes,10,mg/kg,mass/mass,1092770,7733020,161.4,147,1,mg/100g,10,mg/kg,,,
soil,mmol/kg,yes,1E-06,mol/g,mol/mass,1040763,10099748,331,147,28.1,mmol/kg soil,9301.1,mg/kg,9301.1,mg/kg,
,ng/cm2,yes,1E-05,g/m2,mass/area,1162535,1634782,314.29,147,16,ng/cm2,0.00016,g/m2,0.00016,g/m2,
AI ,g/m2,yes,0.01,g/m2,mass/area,2357703,74223646,381.37,145,0.21,AI g/100m2,0.0021,g/m2,,,
,ug/d,yes,1E-06,g/d,mass/time,1075902,170157138,1533.2,144,210,ug/d,0.00021,g/d,,,
bdwt,ng/mg,yes,1,mg/kg,mass/mass,2038384,82657043,422.9,143,0.86,ng/mg bdwt,0.86,mg/kg,,,
bdwt,ug/g,yes,0.01,mg/kg,mass/mass,1009098,9034406,,137,100,ug/100 g bdwt,1,mg/kg,,,
,ng/egg,no,,,mass/noscience,1050846,57749,409.8,135,0.5,ng/egg,0.5,ng/egg,,,
AI ,ml/kg,yes,0.001,ml/g,volume/mass,2222369,107534963,307.82,133,1.8,AI ml/kg sd,0.0018,ml/g,,,
AI ,ug/g,yes,1,mg/kg,mass/mass,1114269,63252,201.22,133,2.721,AI ug/g bdwt,2.721,mg/kg,,,
AI ,ml/l,yes,1000,ul/l,volume/volume,1041178,1897456,265.9,132,1.25,AI ml/L,1250,ul/l,,,
,nmol/ml,yes,1E-06,mol/l,mol/volume,803631,608935,250.3,132,1,nmol/ml,250.3,ug/l,250.3,ug/l,
diet,ppm,yes,1000,ppb,fraction,2346218,93765,255.5,132,1000,ppmw diet,1000000,ppb,,,
bdwt,mmol/kg,yes,1E-06,mol/g,mol/mass,1086479,149575,144.21,130,3.13,mmol/kg bdwt,451.3773,mg/kg,451.3773,mg/kg,
ae,g/l,yes,1000000,ug/l,mass/volume,2467444,55335063,256.5,128,3.6,ae g/L,3600000,ug/l,3600000,ug/l,
dry,mmol/kg/d,no,,,mol/mass/time,2251253,1344703,79.55,128,40,mmol/kg dry bdwt/d,40,mmol/kg dry bdwt/d,,,
,g/m,yes,0.01,g/cm,mass/length,1176457,1563662,221.25,127,1.5,g/m,0.015,g/cm,,,
wet wt,ng/g,yes,0.001,mg/kg,mass/mass,2054706,1336363,,126,50.8,ng/g wet wt,0.0508,mg/kg,0.0508,mg/kg,
diet,umol/g,yes,1E-06,mol/g,mol/mass,1131964,7440508,63.55,125,3.18,umol/g diet,202.089,mg/kg,202.089,mg/kg,
,ug/g/d,no,,,mass/mass/time,1026030,60571,,122,16,ug/g org/d,16,ug/g org/d,,,
,pmol/l,yes,1E-12,mol/l,mol/volume,235022,10099748,331,121,0.43,pM,,ug/l,,,to ppb?
AI ,umol/l,yes,1E-06,mol/l,mol/volume,225281,330541,233.09,120,80,AI uM,18647.2,ug/l,,,
,nmol/g,yes,1E-09,mol/g,mol/mass,1031366,7440439,112.41,120,26,nmol/g,2.92266,mg/kg,,,
,pg/g,yes,1E-06,mg/kg,mass/mass,167324,1746016,322,118,380,pg/g,0.00038,mg/kg,0.00038,mg/kg,
 egg,mg/kg,yes,1,mg/kg,mass/mass,1050680,198550,252.3,116,2,mg/kg egg,2,mg/kg,2,mg/kg,
,oz/gal,no,,,noscience/noscience,2437932,2312358,350.5,116,24,oz/100 gal,24,oz/100 gal,,,
,ppb,yes,1,ppb,fraction,1114018,116063,190.27,116,10,ppb H2O,10,ppb,,,
AI dry soil,ug/g,yes,1,mg/kg,mass/mass,2237946,106728954,,115,0.83,AI ug/g dry soil,0.83,mg/kg,0.83,mg/kg,
AI ,g/l,yes,3333.33333333333,ug/l,mass/volume,1154704,1315501188,,114,108,AI g/300 L,360000,ug/l,,,
,mg/cntr,no,,,mass/noscience,1142875,128449,205.17,114,230,mg/cntr,230,mg/cntr,,,
,lb/cwt,no,,,mass/noscience,1090631,298022,260.4,113,0.5,lb/cwt sd,0.5,lb/cwt sd,,,
soil,ppm,yes,1000,ppb,fraction,2449776,1134232,215.36,113,2,ppm soil,2000,ppb,,,
,ug/cm3,yes,1000,ug/l,mass/volume,1124220,499752,150.22,112,1950,ug/cm3,1950000,ug/l,1950000,ug/l,
AI  fd,mg/l,yes,1000,ug/l,mass/volume,2158596,86479063,461.1,110,50,AI mg/L fd,50000,ug/l,50000,ug/l,
,ul/egg,no,,,volume/noscience,1050518,8002059,,107,0.7,ul/egg,0.7,ul/egg,,,
,%,yes,10000000,ppb,fraction,735516,8002059,,105,0.1,% WSF,1000000,ppb,,,
,ppt,yes,0.001,ppb,fraction,2124389,68359375,434.3,105,0.17,ppt,0.00017,ppb,,,
soil,mg/g,yes,1000,mg/kg,mass/mass,2153788,57921,581.6,103,3,mg/g soil,3000,mg/kg,,,
,ml/acre,yes,0.000247104393047,ml/m2,volume/area,2193160,122453730,407.61,102,320,ml/acre,0.079073405774921,ml/m2,,,
,mmol/kg/d,no,,,mol/mass/time,1060789,149575,144.21,101,3.5,mmol/kg/d,3.5,mmol/kg/d,,,
,oz/gal,no,,,noscience/noscience,2446893,69806504,383.4,101,0.75,oz/gal,0.75,oz/gal,,,
AI ,g/feddan,no,,,mass/noscience,1127262,60515,229.3,100,120,AI g/feddan,120,AI g/feddan,,,
,ml/eu,yes,1,ml/eu,volume/noscience,1112781,64186,46.02538,100,15,ml/eu,15,ml/eu,15,ml/eu,
dry,ng/g,yes,0.001,mg/kg,mass/mass,215022,1336363,,99,2600,ng/g dry wt,2.6,mg/kg,,,
,g/org/d,no,,,mass/organism/time,1111509,64175,46.07,98,5.202,g/org/d,5.202,g/org/d,,,
,nmol,no,,,mol,702797,120068373,437.1,98,1478.5,nmol,1478.5,nmol,,,
,umol/l/ml,no,,,mol/volume/volume,2418808,117180,260.89,96,0.1,uM/ml,0.1,uM/ml,,,
bdwt,ug/g/d,no,,,mass/mass/time,743271,11097691,326.4,95,2,ug/g bdwt/d,2,ug/g bdwt/d,,,
,ppm/w,no,,,fraction/noscience,2455915,138261413,255.66,94,100,ppm w/w,100,ppm w/w,,,
,cm3/l,yes,1000,ul/l,volume/volume,1198001,107073,80.51,93,0.1,cm3/l,100,ul/l,100,ul/l,
media,mg/l,yes,1000,ug/l,mass/volume,719452,1344678,,93,1,mg/L media,1000,ug/l,1000,ug/l,
dry,%,yes,10000000,ppb,fraction,2434271,57885,386.7,92,1,% dry wght,10000000,ppb,,,
,ml/plot,no,,,volume/noscience,2089188,60515,229.3,91,0.34,ml/plot,0.34,ml/plot,,,
,ng/org/d,no,,,mass/organism/time,797744,60348609,564.7,91,670,ng/org/d,670,ng/org/d,,,
,ug/ul,yes,1000000,ug/l,mass/volume,2311423,584792,302.4,91,10.25,ug/ul,10250000,ug/l,10250000,ug/l,
,umol/eu,no,,,mol/noscience,2420043,100754,114.15,91,10,umol/eu,10,umol/eu,,,
diet,% w/w,no,,,fraction/noscience,1102021,637070,242.7,90,0.25,% w/w diet,0.25,% w/w diet,,,
,g/l,yes,263852.242744063,ug/l,mass/volume,2224264,165252700,202.21,90,6.8,g/3.79 L,1794195.25065963,ug/l,,,
,ppm/d,yes,1,ppm/d,fraction/time,2340912,10061026,110.965,90,2.7,ppm/d,2.7,ppm/d,,,
,mBq/ml,yes,1,Bq/l,radioactivity/volume,192184,1014706,213.31,89,9.6,mBq/ml,9.6,Bq/l,9.6,Bq/l,
,ml/kg/d,no,,,volume/mass/time,2161453,67641,58.08,89,1.5,ml/kg/d,1.5,ml/kg/d,,,
AI ,g/m,yes,0.0001,g/cm,mass/length,1100273,116063,190.27,87,5,AI g/100 m,0.0005,g/cm,,,
,g/acre,yes,0.000247104393047,g/m2,mass/area,1058279,88824,499.81,87,20,g/acre,0.004942087860933,g/m2,,,
,iu/kg,no,,,noscience/mass,1065818,67970,384.6,86,80000,IU/kg,80000,IU/kg,,,
,ml/kg,yes,1E-05,ml/g,volume/mass,2271174,131341861,248.18,85,200,ml/100 kg sd,0.002,ml/g,,,
AI ,g/acre,yes,0.000247104393047,g/m2,mass/area,1182475,2385855,545.5,84,1.7,AI g/acre,0.000420077468179,g/m2,,,
ae,ppm,yes,1000,ppb,fraction,2468201,94746,200.62,84,1.5,ae ppm,1500,ppb,,,
,fl oz/acre,no,,,noscience/area,2437537,2312358,350.5,83,32,fl oz/acre,32,fl oz/acre,,,
eu,ug/g,yes,1,mg/kg,mass/mass,2030984,1464422,,83,73.39,ug/g eu,73.39,mg/kg,73.39,mg/kg,
AI  dry fd,ug/g,yes,1,mg/kg,mass/mass,2440847,107868304,296.4,82,2,AI ug/g dry fd,2,mg/kg,2,mg/kg,
,ml/m,yes,0.01,ml/cm,volume/length,2341698,106934,187.86,79,1.28,ml/m,0.0128,ml/cm,,,
,fibers/l,no,,,noscience/volume,2386200,12001295,277.11,78,100000000,fibers/L,100000000,fibers/L,,,
AI ,lb/gal/acre,no,,,mass/noscience/area,2048598,333415,304.35,77,2,AI lb/11 gal/acre,2,AI lb/11 gal/acre,,,
AI ,ug/g,yes,1,mg/kg,mass/mass,1177852,577117,444.6,77,500,AI ug/g,500,mg/kg,500,mg/kg,
,ug/h,yes,2.4E-05,g/d,mass/time,1082696,54115,162.23,77,75,ug/h,0.0018,g/d,0.0018,g/d,
,qt/acre,no,,,noscience/area,2220782,23135220,219.26,76,2,qt/acre,2,qt/acre,,,
AI ,g/ml,yes,1000000000,ug/l,mass/volume,1130187,52645531,,74,8.8E-06,AI g/ml,8800,ug/l,8800,ug/l,
AI ,mg/cm2,yes,10,g/m2,mass/area,1234934,83121180,381.1,74,0.377,AI mg/cm2,3.77,g/m2,3.77,g/m2,
,ug/mg,yes,1000,mg/kg,mass/mass,1085217,40716663,,74,50,ug/mg,50000,mg/kg,50000,mg/kg,
AI soil,g/kg,yes,1000,mg/kg,mass/mass,2332868,153719234,291.72,73,0.00027,AI g/kg soil,0.27,mg/kg,0.27,mg/kg,
,cpm/ml,no,,,counts/volume,158625,7773015,197.9,73,56.39,cpm/ml,56.39,cpm/ml,,,
,g/ml,yes,10000000,ug/l,mass/volume,1220296,127208,164.95,73,1,g/100ml,10000000,ug/l,,,
AI ,umol/kg,yes,1E-09,mol/g,mol/mass,2252962,66230044,,72,2.3,AI umol/kg dry soil,,mg/kg,,,
,iu,no,,,noscience,1045060,9002704,,72,1200,IU,1200,IU,,,
dry,mmol/kg/d,no,,,mol/mass/time,2267831,7440508,63.55,72,40,mmol/kg dry fd/d,40,mmol/kg dry fd/d,,,
,kg/m2,yes,2,g/m2,mass/area,1111439,74839,94.94,71,45,kg/500 m2,90,g/m2,,,
,nmol/org,no,,,mol/organism,2155959,64313,668.8,71,100,nmol/org,100,nmol/org,,,
food,ug/mg,yes,1000,mg/kg,mass/mass,210401,50471448,286.11,71,1,ug/mg food,1000,mg/kg,1000,mg/kg,
AI ,g/l,yes,5000,ug/l,mass/volume,2191483,1910425,257.16,70,600,AI g/200 L,3000000,ug/l,3000000,ug/l,
AI of dbh,g/cm,yes,1,g/cm,mass/length,1069013,672288516,,70,0.05,AI g/cm of dbh,0.05,g/cm,0.05,g/cm,
AI ,ppm/w,no,,,fraction/noscience,2454877,4151502,527.2,70,18,AI ppm w/w,18,AI ppm w/w,,,
,ng/g/d,no,,,mass/mass/time,2322832,78513,398.5,70,21.93,ng/g org/d,21.93,ng/g org/d,,,
,Bq/ml,yes,1000,Bq/l,radioactivity/volume,136088,7647178,168.36,68,74,Bq/ml,74000,Bq/l,74000,Bq/l,
,,no,,,,211043,7664939,98.08,68,0.2,N,0.2,N,,,
,pt/acre,no,,,noscience/area,1149544,79622596,465.09,68,0.5,pt/acre,0.5,pt/acre,,,
lipid diet,ug/g,yes,1,mg/kg,mass/mass,2381015,25637994,641.7,68,3000,ug/g lipid diet,3000,mg/kg,3000,mg/kg,
AI ,g/l,yes,1000000,ug/l,mass/volume,2175088,17804352,290.32,67,0.5,AI g/L soil,500000,ug/l,,,
,mg/egg,yes,1,mg/egg,mass/noscience,1171952,64175,46.07,67,10,mg/egg,10,mg/egg,10,mg/egg,
,uCi/ml,no,,,NA/volume,2457961,13823273,,67,0.02,uCi/ml,0.02,uCi/ml,,,
AI ,mg/kg/d,yes,1,mg/kg/d,mass/mass/time,1152196,10265926,141.13,66,0.79,AI mg/kg/d,0.79,AI mg/kg/d,0.79,mg/kg/d,
AI ,oz/gal,no,,,noscience/noscience,1068299,29232937,305.34,66,8,AI oz/100 gal,8,AI oz/100 gal,,,
,g/g,yes,10000,mg/kg,mass/mass,2260787,5508587,350.4,66,0.1,g/100g,1000,mg/kg,,,
,nmol/kg,yes,1E-12,mol/g,mol/mass,2166045,60311,181.66,66,100,nmol/kg,0.018166,mg/kg,,,
,pg/ml,yes,0.001,ug/l,mass/volume,784601,1746016,322,66,25,pg/ml,0.025,ug/l,0.025,ug/l,
,ug/kg/mi,no,,,mass/mass/time,1148704,525666,259.34,66,0.5,ug/kg/mi,0.5,ug/kg/mi,,,
,ul/kg,yes,1E-06,ml/g,volume/mass,1132789,75150,76.15,66,80,ul/kg,8E-05,ml/g,,,
,%,yes,10000000,ppb,fraction,102155,91203,128.17,65,100,% sat,1000000000,ppb,,,
AI ,oz/ft,no,,,noscience/length,2056621,13071799,288.4,65,0.6,AI oz/1000 ft,0.6,AI oz/1000 ft,,,
bdwt,ug/g,yes,0.02,mg/kg,mass/mass,2045005,51489,776.87,65,0.5,ug/50 g bdwt,0.01,mg/kg,,,
AI ,% w/w,no,,,fraction/noscience,2457068,4151502,527.2,64,0.01,AI % w/w bt,0.01,AI % w/w bt,,,
AI ,mg/org,no,,,mass/organism,1084319,12427382,265.3,64,20,AI mg/org,20,AI mg/org,,,
,mg/fish,no,,,mass/noscience,124379,8018017,541.1,64,10,mg/fish,10,mg/fish,,,
AI ,ug/kg,yes,0.001,mg/kg,mass/mass,2365670,39600425,,63,996,AI ug/kg soil,0.996,mg/kg,,,
,Bq/l,yes,1,Bq/l,radioactivity/volume,152836,7440246,87.6,63,37000,Bq/L,37000,Bq/L,37000,Bq/L,
,ml/l,yes,263.852242744063,ul/l,volume/volume,2009471,52645531,,61,18,ml/3.79 L,4749.34036939313,ul/l,,,
,umol/l/l,no,,,mol/volume/volume,728083,60515,229.3,61,100,uM/L,100,uM/L,,,
wet,ug/g/d,no,,,mass/mass/time,2338785,115093,251.08,61,0.83,ug/g wet fd/d,0.83,ug/g wet fd/d,,,
,ml/l,yes,100,ul/l,volume/volume,2452022,79241466,383.4,60,160,ml/10 L,16000,ul/l,,,
,oz/cwt,no,,,noscience/noscience,2402730,133062,300.6,60,2,oz/cwt,2,oz/cwt,,,
,umol/l/kg,no,,,mol/volume/mass,1042870,1002626,194.25,60,1,uM/kg,1,uM/kg,,,
bdwt,ul/g,yes,0.001,ml/g,volume/mass,1241368,57556,76.09,60,1,ul/g bdwt,0.001,ml/g,,,
ai ,lb/ha,yes,0.045359237,g/m2,mass/area,2217951,51630581,419.89982,59,0.05,ai lb/ha,0.00226796185,g/m2,,,
,g/gal,no,,,mass/noscience,2224332,165252700,202.21,59,2.6,g/gal,2.6,g/gal,,,
,fl oz/gal,no,,,noscience/noscience,2312023,95737681,321.4,58,2,fl oz/100 gal,2,fl oz/100 gal,,,
AI ,‰,no,,,fraction,2237544,60168889,331.2,57,5,AI 0/00,5,AI 0/00,,,
,g/hl,yes,10000,ug/l,mass/volume,2436859,66215278,166.18,57,30,g/hL,300000,ug/l,,,
,kg/org,no,,,mass/organism,1156468,57136,60.056,57,13.6,kg/org,13.6,kg/org,,,
,g/d,yes,1,g/d,mass/time,1171976,64175,46.07,56,0.52,g/d,0.52,g/d,,,
,ug/org/d,no,,,mass/organism/time,797437,5436431,485.79,56,12.3,ug/2 org/d,12.3,ug/2 org/d,,,
,umol/kg/mi,no,,,mol/mass/time,1167619,7664417,17.031,56,55,umol/kg/mi,55,umol/kg/mi,,,
,g/ml,yes,1057082.45243129,ug/l,mass/volume,2312786,158062670,229.16,55,0.6,g/946 ml,634249.471458774,ug/l,,,
,ug/kg/d,no,,,mass/mass/time,2366739,155569918,1008.2,55,50,ug/kg org/d,50,ug/kg org/d,,,
wet,ng/g,yes,0.001,mg/kg,mass/mass,2334608,7487947,271.5,54,110,ng/g wet wt diet,0.11,mg/kg,,,
,ng/mg,yes,1,mg/kg,mass/mass,1234636,1912249,215.68,54,1.27,ng/mg,1.27,mg/kg,,,
AI ,g/gal,no,,,mass/noscience,2059528,39515418,349.4,53,102.2,AI g/100 gal,102.2,AI g/100 gal,,,
,kg,yes,1000000000,ug,mass,104423,1305788,56.08,53,3.3,kg,3300000000,ug,,,
,ml/ml,yes,10000,ul/l,volume/volume,2472226,1071836,169.0731,53,1,ml/100ml,10000,ul/l,,,
fd,ng/kg,yes,1E-06,mg/kg,mass/mass,212822,1746016,322,53,1.8,ng/kg fd,1.8E-06,mg/kg,,,
,oz,no,,,noscience,2037536,82657043,422.9,53,24,oz,24,oz,,,
bdwt,ug/g/d,no,,,mass/mass/time,2134383,25154523,258.44,53,100,ug/100 g bdwt/d,100,ug/100 g bdwt/d,,,
,g/m3,yes,1000,ug/l,mass/volume,1128732,7803512,33.998,52,4.3,g h/m3,4300,ug/l,,,TODO
,ng/eu,yes,1E-06,mg/eu,mass/noscience,2089608,2921882,350.6,52,3.39,ng/eu,3.39E-06,mg/eu,3.39E-06,mg/eu,
,ug/g,yes,1,mg/kg,mass/mass,2403479,50282,272.4,52,10,ug/g pellet,10,mg/kg,,,
ht,% w,no,,,fraction,1058991,1912249,215.68,51,0.01,% wght,0.01,% wght,,,
AI ,mol/l,yes,1,mol/l,mol/volume,2358690,834128,227.33,51,1E-07,AI M,22.733,ug/l,,,
,g/g,yes,10000,mg/kg,mass/mass,2266293,138261413,255.66,51,250,g/100 g sd,2500000,mg/kg,,,
diet,mg/ml,yes,10000,ug/l,mass/volume,1027919,137406,96.06,51,400,mg/100ml diet,4000000,ug/l,,,
fd,mg/ml,yes,1000000,ug/l,mass/volume,2433065,313042,384.6,51,2.5,mg/ml fd,2500000,ug/l,2500000,ug/l,
bdwt,ng/g/d,no,,,mass/mass/time,2440505,60348609,564.7,51,50.7,ng/g bdwt/d,50.7,ng/g bdwt/d,,,
,pg/ul,yes,1,ug/l,mass/volume,785243,1746016,322,51,50,pg/ul,50,ug/l,50,ug/l,
AI ,g/sd,no,,,mass/noscience,2268003,138261413,255.66,50,90,AI g/100000 sd,90,AI g/100000 sd,,,
,dpm,no,,,radioactivity,184040,50328,252.3,50,80000,dpm,80000,dpm,,,
seed,g/kg,yes,333.333333333333,mg/kg,mass/mass,2440030,5234684,235.3,50,2.5,g/3 kg seed,833.333333333332,mg/kg,833.333333333332,mg/kg,
fd,mmol/kg,yes,1E-06,mol/g,mol/mass,1160236,128030,159.32,50,0.43,mmol/kg fd,68.5076,mg/kg,,,
org,ug/kg,yes,0.001,mg/kg,mass/mass,1029011,10108642,183.32,50,159,ug/kg org,0.159,mg/kg,0.159,mg/kg,
,gal/gal,no,,,noscience/noscience,1090102,158319176,,49,1,gal/100 gal,1,gal/100 gal,,,
wet fd,mg/kg,yes,1,mg/kg,mass/mass,2300312,3211765,196.12,49,4.54,mg/kg wet fd,4.54,mg/kg,4.54,mg/kg,
,nmol/egg,no,,,mol/noscience,2387038,115208,149.4,49,4,nmol/egg,4,nmol/egg,,,
dry wt,ppm,yes,1000,ppb,fraction,1156803,7447394,134.45,49,146.65,ppm dry wt,146650,ppb,146650,ppb,
,ppm-hour,no,,,fraction,727522,83794,394.4,48,3,ppm-hour,3000,ppb,,,TODO
,pt,no,,,noscience,1216332,107062,98.96,48,0.5,pt,0.5,pt,,,
,ug/m2,yes,1E-06,g/m2,mass/area,2148129,732116,317.3,48,100,ug/m2,0.0001,g/m2,0.0001,g/m2,
org,ug/mg,yes,1000,mg/kg,mass/mass,2336938,97530,164.2,48,31,ug/mg org,31000,mg/kg,31000,mg/kg,
,mmol/d,no,,,mol/time,1079070,50215,90.08,47,341,mmol/d,341,mmol/d,,,
org,ng/g,yes,0.001,mg/kg,mass/mass,2415189,1763231,500.13,47,16,ng/g org,0.016,mg/kg,0.016,mg/kg,
,nmol/kg/mi,no,,,mol/mass/time,2159415,51434,183.2,47,1.34,nmol/kg/mi,1.34,nmol/kg/mi,,,
,umol/egg,no,,,mol/noscience,2420260,135886,219.28,47,0.9,umol/egg,0.9,umol/egg,,,
AI ,g/dm3,yes,1000000,ug/l,mass/volume,2342255,106934,187.86,46,1800,AI g/dm3,1800000000,ug/l,1800000000,ug/l,
ae,ug/cm2,yes,0.01,g/m2,mass/area,2462636,38641940,228.18,46,60,ae ug/cm2,0.6,g/m2,0.6,g/m2,
,kg/hl,yes,10000000,ug/l,mass/volume,2328380,8046717,,46,0.2,kg/hL,2000000,ug/l,2000000,ug/l,
,lb/ft2,yes,4.88242763638305,g/m2,mass/area,2282080,15630894,314.02,46,10,lb/1000 ft2,48.8242763638305,g/m2,,,
,mCi/mmol,no,,,NA/mol,109251,92524,154.21,46,5,mCi/mmol,5,mCi/mmol,,,
,ml/cm2,yes,10.7642626480086,ml/m2,volume/area,1062389,22248799,,46,5,ml/929 cm2,53.821313240043,ml/m2,,,
,mol/ha,no,,,mol/area,1204031,314421,247.09,46,0.3,mol/ha,0.3,mol/ha,,,
dry,nmol/g,yes,1E-09,mol/g,mol/mass,2426708,10102064,396.05,46,120,nmol/g dry wt,47.526,mg/kg,,,
AI ,l/l/ha,no,,,volume/volume/area,2460641,38641940,228.18,45,4.7,AI L/42.1 L/ha,4.7,AI L/42.1 L/ha,,,
,l/acre,yes,0.024710439304663,ml/m2,volume/area,1119042,69327760,305.4,45,150,L/10 ac,3.70656589569942,ml/m2,,,
,mg/ha,yes,1E-07,g/m2,mass/area,2048212,52918635,505.2,45,260,mg/ha,2.6E-05,g/m2,2.6E-05,g/m2,
,ug/leaf,yes,1,ug/leaf,mass/leaf,1211259,1918021,241.5,45,945,ug/lf,945,ug/leaf,945,ug/leaf,
AI fd,g/l,yes,1000000,ug/l,mass/volume,2372313,116714466,492.7,44,192,AI g/L fd,192000000,ug/l,192000000,ug/l,
AI ,ng/ml,yes,1,ug/l,mass/volume,2236677,60207901,342.2,44,6,AI ng/mL,6,ug/l,6,ug/l,
AI ,ug,yes,1,ug,mass,2438012,2312358,350.5,44,29000,AI ug,29000,ug,29000,ug,
litter,mg/kg,yes,1,mg/kg,mass/mass,1031373,7758954,278,44,517.1,mg/kg litter,517.1,mg/kg,517.1,mg/kg,
,ng/ul,yes,1000,ug/l,mass/volume,2045576,52918635,505.2,44,0.1281,ng/ul,128.1,ug/l,128.1,ug/l,
,ul/g,yes,0.001,ml/g,volume/mass,119571,56235,153.8,43,8,ul/g,0.008,ml/g,0.008,ml/g,
wet,umol/g,yes,1E-06,mol/g,mol/mass,713565,206440,202.25,43,0.86,umol/g wet wt,173.935,mg/kg,,,
AI ,ml/l,yes,10,ul/l,volume/volume,1088846,10265926,141.13,42,25,AI ml/100 L,250,ul/l,,,
AI ,ug/mg,yes,10,mg/kg,mass/mass,2019499,91465086,449.8,42,0.0003514,AI ug/mg 100 ml solv,0.003514,mg/kg,,,
,kg/feddan,no,,,mass/noscience,2185868,29232937,305.34,42,2.4,kg/feddan,2.4,kg/feddan,,,
AI ,mg/l,yes,500,ug/l,mass/volume,1064472,115297,406.9,41,20,AI mg/2 L fd,10000,ug/l,,,
AI egg wt,mg/kg,yes,1,mg/kg,mass/mass,2454853,2795393,538.22,41,0.93,AI mg/kg egg wt,0.93,mg/kg,0.93,mg/kg,
AI ,ng/eu,yes,1E-06,mg/eu,mass/noscience,1165810,2921882,350.6,41,28.8,AI ng/eu,2.88E-05,mg/eu,2.88E-05,mg/eu,
,umol/mol,no,,,mol/mol,2031159,7440439,112.41,41,248.3,umol/mol C,248.3,umol/mol C,,,
,g/l,yes,4000,ug/l,mass/volume,2283114,1332407,213.57,40,1000,g/250 L,4000000,ug/l,4000000,ug/l,
,kg/eu,yes,1000000,mg/eu,mass/noscience,2347797,2163806,161.952,40,737,kg/eu,737000000,mg/eu,737000000,mg/eu,
org,mg/kg/org,yes,1,mg/kg,mass/mass,1182042,52207484,355.4,40,15,mg/kg/org,15,mg/kg,15,mg/kg,
fd,ml/kg,yes,1E-05,ml/g,volume/mass,2263362,12427382,265.3,40,350,ml/100 kg fd,0.0035,ml/g,,,
,tons/ha,yes,90.718474,g/m2,mass/area,1090247,156627,82.12,40,0.75,tons/ha,68.0388555,g/m2,,,
AI ,g/hl,yes,10000,ug/l,mass/volume,2267875,138261413,255.66,39,13.3,AI g/hl,133000,ug/l,,,
ai organism,mg/kg,yes,1,mg/kg,mass/mass,1114514,298000,263.21,39,13.5,ai mg/kg org,13.5,mg/kg,13.5,mg/kg,
diet,g/g,yes,10000,mg/kg,mass/mass,1169944,141786,88.11,39,2.5,g/100g diet,25000,mg/kg,,,
,ng/ml,yes,2,ug/l,mass/volume,2060823,29953502,512.6,39,20,ng/0.5 ml,40,ug/l,,,
,ug/g/d,no,,,mass/mass/time,144116,688733,290.1,39,4.8,ug/g/d,4.8,ug/g/d,,,
bt,%,yes,10000000,ppb,fraction,1178344,10043353,61.84,38,1,% bt,10000000,ppb,,,
AI ,kg/feddan,no,,,mass/noscience,2350956,1910425,257.16,38,1.6,AI kg/feddan,1.6,AI kg/feddan,,,
,g/t,yes,1,mg/kg,mass/mass,1243049,20859738,57.9553,38,6,g/ton,6,mg/kg,,,
,ml/ml,yes,40000,ul/l,volume/volume,68525,76744,226.27,38,3,ml/25 ml,120000,ul/l,,,
soil,ml/kg,yes,0.001,ml/g,volume/mass,2343019,542756,110.97,38,0.18,ml/kg soil,0.00018,ml/g,,,
food,nmol/g,yes,1E-09,mol/g,mol/mass,245136,7440439,112.41,38,104,nmol/g food,11.69064,mg/kg,,,
soil,umol/kg,yes,1E-09,mol/g,mol/mass,2390206,8069496,275.3,38,19520,umol/kg soil,5373.856,mg/kg,,,
ae,mol/l,yes,1,mol/l,mol/volume,2358794,2008391,266.12,37,1E-05,ae M,2661.2,ug/l,,,
ai ,oz/bu,no,,,noscience/noscience,1181907,138261413,255.66,37,0.72,ai oz/bu,0.72,ai oz/bu,,,
,lb,yes,453592370,ug,mass,2249546,116063,190.27,37,3.5,lb,1587573295,ug,,,
bdwt,ml/g,yes,0.01,ml/g,volume/mass,1142651,12609802,,37,1,ml/100 g bdwt,0.01,ml/g,,,
,ml/kg/d,no,,,volume/mass/time,1090876,8002059,,37,2.48,ml/kg org/d,2.48,ml/kg org/d,,,
,% v,no,,,fraction,1048396,64175,46.07,36,6,% vol,6,% vol,,,
AI ,g/m,yes,0.001,g/cm,mass/length,2202123,298022,260.4,36,2.1,AI g/10 m,0.0021,g/cm,,,
AI ,g/g,yes,10000,mg/kg,mass/mass,2356384,210880925,249.68,36,4.39,AI g/100 g sd,43900,mg/kg,,,
AI ,mg,yes,1000,ug,mass,1157724,759944,189.32,36,20.8,AI mg,20800,ug,,,
,g/kg,yes,10,mg/kg,mass/mass,2402843,133062,300.6,36,160,g/100 kg sd,1600,mg/kg,,,
,g/cm,yes,0.016666666666667,g/cm,mass/length,1140265,119368,152.15,36,2,g/60 cm,0.033333333333333,g/cm,0.033333333333333,g/cm,
,meq/l,no,,,noscience/volume,1155638,7757791,101.103,36,10,meq/L,10,meq/L,,,
,ml/ml,yes,2000,ul/l,volume/volume,1006161,333415,304.35,36,0.52,ml/500 ml,1040,ul/l,,,
