no_tests;norman_ecotox_group;endpoint;duration;unit;convert;value
4;??;LC01;48;h;no;
4;??;LC50;48;h;no;
4;??;LOEC;180;d;no;
4;??;NOEC;180;d;no;
2;??;NOEC;60;d;no;
1;??;NR;180;d;no;
1;??;NR-LETH;11;d;no;
1;??;NR-LETH;12;d;no;
2;??;NR-LETH;60;d;no;
4;??;NR-ZERO;48;h;no;
3;Algae;BAF;10;d;no;
1;Algae;BAF;24;h;no;
5;Algae;BCF;0;mi;no;
26;Algae;BCF;10;d;no;
3;Algae;BCF;10;h;no;
2;Algae;BCF;100;d;no;
7;Algae;BCF;100;mi;no;
1;Algae;BCF;1050;d;no;
1;Algae;BCF;1140;d;no;
6;Algae;BCF;12;d;no;
51;Algae;BCF;12;h;no;
10;Algae;BCF;120;h;no;
50;Algae;BCF;120;mi;no;
1;Algae;BCF;1200;d;no;
2;Algae;BCF;127;d;no;
7;Algae;BCF;13;d;no;
1;Algae;BCF;131;d;no;
23;Algae;BCF;14;d;no;
3;Algae;BCF;140;d;no;
10;Algae;BCF;15;d;no;
33;Algae;BCF;15;mi;no;
13;Algae;BCF;16;d;no;
1;Algae;BCF;16;h;no;
213;Algae;BCF;180;mi;no;
8;Algae;BCF;20;d;no;
9;Algae;BCF;20;mi;no;
12;Algae;BCF;21;d;no;
1;Algae;BCF;210;mi;no;
13;Algae;BCF;22;d;no;
1;Algae;BCF;24;d;no;
272;Algae;BCF;24;h;no;
2;Algae;BCF;240;mi;no;
1;Algae;BCF;26;d;no;
4;Algae;BCF;27;d;no;
29;Algae;BCF;28;d;no;
1;Algae;BCF;28;h;no;
36;Algae;BCF;30;d;no;
11;Algae;BCF;30;mi;no;
2;Algae;BCF;300;mi;no;
1;Algae;BCF;31;d;no;
2;Algae;BCF;318;d;no;
8;Algae;BCF;32;d;no;
35;Algae;BCF;33;d;no;
1;Algae;BCF;330;d;no;
1;Algae;BCF;34;d;no;
4;Algae;BCF;34;h;no;
16;Algae;BCF;35;d;no;
1;Algae;BCF;36;d;no;
42;Algae;BCF;36;h;no;
2;Algae;BCF;40;d;no;
4;Algae;BCF;40;mi;no;
1;Algae;BCF;41;d;no;
6;Algae;BCF;42;d;no;
1;Algae;BCF;420;d;no;
1;Algae;BCF;44;h;no;
1;Algae;BCF;45.6;h;no;
1;Algae;BCF;46;d;no;
1;Algae;BCF;47;d;no;
2;Algae;BCF;48;d;no;
76;Algae;BCF;48;h;no;
5;Algae;BCF;49;d;no;
3;Algae;BCF;50;d;no;
1;Algae;BCF;50;mi;no;
1;Algae;BCF;56;d;no;
22;Algae;BCF;6;d;no;
10;Algae;BCF;6;h;no;
19;Algae;BCF;60;d;no;
2;Algae;BCF;60;h;no;
14;Algae;BCF;60;mi;no;
2;Algae;BCF;63;d;no;
1;Algae;BCF;67.2;h;no;
1;Algae;BCF;690;d;no;
66;Algae;BCF;7;d;no;
3;Algae;BCF;70;d;no;
1;Algae;BCF;70.8;h;no;
1;Algae;BCF;71.52;h;no;
1;Algae;BCF;72;d;no;
45;Algae;BCF;72;h;no;
1;Algae;BCF;720;d;no;
1;Algae;BCF;74;h;no;
1;Algae;BCF;75;d;no;
2;Algae;BCF;7.5;h;no;
1;Algae;BCF;780;d;no;
5;Algae;BCF;8;d;no;
2;Algae;BCF;8;h;no;
1;Algae;BCF;84;d;no;
1;Algae;BCF;84;h;no;
13;Algae;BCF;9;d;no;
1;Algae;BCF;90;d;no;
1;Algae;BCF;90;mi;no;
5;Algae;BCF;91;h;no;
134;Algae;BCF;96;h;no;
12;Algae;BCF;NR;d;no;
19;Algae;BCF;NR;h;no;
6;Algae;BCF;NR;mi;no;
1;Algae;BCF;NR;NR;no;
5;Algae;BCF/;91;h;no;
4;Algae;BCFD;10;d;no;
2;Algae;BCFD;100;d;no;
3;Algae;BCFD;11;d;no;
42;Algae;BCFD;120;h;no;
7;Algae;BCFD;120;mi;no;
9;Algae;BCFD;13;d;no;
5;Algae;BCFD;14;d;no;
2;Algae;BCFD;140;d;no;
2;Algae;BCFD;15;d;no;
15;Algae;BCFD;16;h;no;
2;Algae;BCFD;17;d;no;
1;Algae;BCFD;18;mi;no;
3;Algae;BCFD;20;d;no;
27;Algae;BCFD;21;d;no;
2;Algae;BCFD;22;d;no;
1;Algae;BCFD;23;d;no;
10;Algae;BCFD;24;d;no;
72;Algae;BCFD;24;h;no;
12;Algae;BCFD;32;h;no;
3;Algae;BCFD;36;h;no;
1;Algae;BCFD;38;d;no;
6;Algae;BCFD;40;d;no;
12;Algae;BCFD;40;h;no;
13;Algae;BCFD;47;h;no;
90;Algae;BCFD;48;h;no;
2;Algae;BCFD;50;d;no;
1;Algae;BCFD;58;d;no;
3;Algae;BCFD;6;d;no;
26;Algae;BCFD;6;h;no;
1;Algae;BCFD;60;mi;no;
9;Algae;BCFD;7;d;no;
48;Algae;BCFD;72;h;no;
1;Algae;BCFD;79;d;no;
15;Algae;BCFD;8;h;no;
1;Algae;BCFD;94;d;no;
81;Algae;BCFD;96;h;no;
25;Algae;BCFD;NR;d;no;
16;Algae;BCFD;NR;h;no;
4;Algae;BCFD;NR;mi;no;
8;Algae;EC0;14;d;no;
2;Algae;EC0;16;d;no;
1;Algae;EC0;6;d;no;
1;Algae;EC0;96;h;no;
5;Algae;EC01;24;h;no;
3;Algae;EC03;120;mi;no;
49;Algae;EC03;7;d;no;
7;Algae;EC05;120;mi;no;
1;Algae;EC05;24;h;no;
2;Algae;EC05;72;h;yes;chronic
50;Algae;EC05;96;h;yes;chronic
9;Algae;EC10;10;d;yes;chronic
3;Algae;EC10;120;h;yes;chronic
34;Algae;EC10;120;mi;no;
1;Algae;EC10;135;d;no;
13;Algae;EC10;14;d;yes;chronic
2;Algae;EC10;21;d;no;
177;Algae;EC10;24;h;no;
2;Algae;EC10;240;mi;no;
11;Algae;EC10;30;mi;no;
1;Algae;EC10;300;mi;no;
1;Algae;EC10;35;d;no;
55;Algae;EC10;48;h;no;
1;Algae;EC10;58;d;no;
6;Algae;EC10;6;d;yes;chronic
14;Algae;EC10;6;h;no;
10;Algae;EC10;60;mi;no;
16;Algae;EC10;7;d;yes;chronic
281;Algae;EC10;72;h;yes;chronic
29;Algae;EC10;9;d;yes;chronic
189;Algae;EC10;96;h;yes;chronic
17;Algae;EC10;NR;NR;no;
11;Algae;EC100;10;d;no;
20;Algae;EC100;120;h;no;
1;Algae;EC100;13;d;no;
1;Algae;EC100;14;d;no;
3;Algae;EC100;16;d;no;
1;Algae;EC100;24;h;no;
1;Algae;EC100;240;mi;no;
1;Algae;EC100;43;d;no;
1;Algae;EC100;6;d;no;
2;Algae;EC100;7;d;no;
1;Algae;EC100;72;h;no;
6;Algae;EC100;8;d;no;
19;Algae;EC100;96;h;no;
64;Algae;EC100;NR;d;no;
1;Algae;EC100;NR;h;no;
15;Algae;EC100/;14;d;no;
1;Algae;EC100/;24;h;no;
1;Algae;EC20;10;d;yes;chronic
4;Algae;EC20;120;mi;no;
2;Algae;EC20;14;d;yes;chronic
6;Algae;EC20;180;mi;no;
16;Algae;EC20;21;d;no;
28;Algae;EC20;240;mi;no;
1;Algae;EC20;30;mi;no;
1;Algae;EC20;35;mi;no;
20;Algae;EC20;48;h;no;
2;Algae;EC20;49;d;no;
41;Algae;EC20;7;d;yes;chronic
1;Algae;EC20;7;h;no;
91;Algae;EC20;72;h;yes;chronic
7;Algae;EC20;96;h;yes;chronic
1;Algae;EC20/;24;h;no;
1;Algae;EC24;7;d;no;
1;Algae;EC25;120;h;no;
1;Algae;EC25;14;d;no;
4;Algae;EC25;15;d;no;
2;Algae;EC25;21;d;no;
4;Algae;EC25;24;h;no;
1;Algae;EC25;48;h;no;
2;Algae;EC25;6;h;no;
3;Algae;EC25;7;d;no;
4;Algae;EC25;72;h;no;
11;Algae;EC25;90;mi;no;
4;Algae;EC25;96;h;no;
2;Algae;EC30;14;d;no;
4;Algae;EC30;6;d;no;
16;Algae;EC30;7;d;no;
1;Algae;EC34;7;d;no;
2;Algae;EC37;14;d;no;
1;Algae;EC38;7;d;no;
1;Algae;EC40;14;d;no;
2;Algae;EC40;16;d;no;
3;Algae;EC40;180;mi;no;
4;Algae;EC40;240;mi;no;
1;Algae;EC40;7;d;no;
1;Algae;EC40;9;d;no;
1;Algae;EC46;14;d;no;
2;Algae;EC50;0;mi;no;
2;Algae;EC50;1;ge;no;
163;Algae;EC50;10;d;no;
4;Algae;EC50;10;h;no;
1;Algae;EC50;10;mi;no;
1;Algae;EC50;100;h;no;
9;Algae;EC50;105;mi;no;
3;Algae;EC50;109;d;no;
14;Algae;EC50;11;d;no;
137;Algae;EC50;12;d;no;
4;Algae;EC50;12;h;yes;acute
815;Algae;EC50;120;h;no;
82;Algae;EC50;120;mi;no;
1;Algae;EC50;135;d;no;
98;Algae;EC50;14;d;no;
15;Algae;EC50;14;h;yes;acute
52;Algae;EC50;15;d;no;
1;Algae;EC50;15;h;yes;acute
7;Algae;EC50;15;mi;no;
23;Algae;EC50;16;d;no;
1;Algae;EC50;18;d;no;
3;Algae;EC50;18;h;yes;acute
2;Algae;EC50;180;d;no;
143;Algae;EC50;180;mi;no;
3;Algae;EC50;19;d;no;
16;Algae;EC50;20;d;no;
3;Algae;EC50;20;h;yes;acute
28;Algae;EC50;20;mi;no;
79;Algae;EC50;21;d;no;
1;Algae;EC50;22;d;no;
12;Algae;EC50;22;h;yes;acute
4;Algae;EC50;23;d;no;
859;Algae;EC50;24;h;yes;acute
67;Algae;EC50;240;mi;no;
2;Algae;EC50;27;d;no;
17;Algae;EC50;270;mi;no;
19;Algae;EC50;28;d;no;
3;Algae;EC50;28;h;yes;acute
15;Algae;EC50;3;mi;no;
1;Algae;EC50;3;yr;no;
2;Algae;EC50;30;d;no;
2;Algae;EC50;30;h;yes;acute
20;Algae;EC50;30;mi;no;
45;Algae;EC50;300;mi;no;
4;Algae;EC50;35;d;no;
6;Algae;EC50;35;mi;no;
4;Algae;EC50;40;h;yes;acute
1;Algae;EC50;44;h;yes;acute
11;Algae;EC50;45;mi;no;
725;Algae;EC50;48;h;yes;acute
15;Algae;EC50;4.8;mi;no;
5;Algae;EC50;49;d;no;
5;Algae;EC50;5;mi;no;
1;Algae;EC50;50;h;yes;acute
1;Algae;EC50;50;mi;no;
1;Algae;EC50;5.166666667;d;no;
1;Algae;EC50;5.25;d;no;
1;Algae;EC50;5.291666667;d;no;
1;Algae;EC50;56;d;no;
1;Algae;EC50;58;d;no;
128;Algae;EC50;6;d;no;
38;Algae;EC50;6;h;no;
118;Algae;EC50;60;mi;no;
2;Algae;EC50;6.04;d;no;
241;Algae;EC50;7;d;no;
2;Algae;EC50;7;h;no;
2;Algae;EC50;70;h;yes;acute
1634;Algae;EC50;72;h;yes;acute
35;Algae;EC50;8;d;no;
11;Algae;EC50;8;h;no;
74;Algae;EC50;9;d;no;
2;Algae;EC50;9;h;no;
212;Algae;EC50;90;mi;no;
1;Algae;EC50;92;h;yes;acute
1;Algae;EC50;93;h;yes;acute
1;Algae;EC50;94;h;yes;acute
3;Algae;EC50;96;d;no;
2804;Algae;EC50;96;h;yes;acute
1;Algae;EC50;97.92;h;no;
216;Algae;EC50;NR;d;no;
100;Algae;EC50;NR;h;no;
40;Algae;EC50;NR;mi;no;
42;Algae;EC50;NR;NR;no;
1;Algae;EC50/;10;h;no;
5;Algae;EC50/;120;h;no;
1;Algae;EC50/;15;mi;no;
6;Algae;EC50/;16;h;yes;acute
61;Algae;EC50/;180;mi;no;
9;Algae;EC50/;20;h;yes;acute
2;Algae;EC50/;24;h;yes;acute
51;Algae;EC50/;240;mi;no;
2;Algae;EC50/;28;h;yes;acute
2;Algae;EC50/;300;mi;no;
5;Algae;EC50/;33;d;no;
6;Algae;EC50/;48;h;yes;acute
3;Algae;EC50/;51.6;mi;no;
11;Algae;EC50/;6;h;no;
1;Algae;EC50/;72;h;yes;acute
28;Algae;EC50/;96;h;yes;acute
37;Algae;EC50/;NR;d;no;
17;Algae;EC50/;NR;h;no;
4;Algae;EC50*;10;d;no;
18;Algae;EC50*;120;h;no;
12;Algae;EC50*;14;d;no;
5;Algae;EC50*;15;mi;no;
12;Algae;EC50*;24;h;yes;acute
3;Algae;EC50*;240;mi;no;
16;Algae;EC50*;28;h;yes;acute
2;Algae;EC50*;44;h;yes;acute
5;Algae;EC50*;48;h;yes;acute
1;Algae;EC50*;66.66666667;d;no;
3;Algae;EC50*;72;h;yes;acute
6;Algae;EC50*;8;d;no;
7;Algae;EC50*;96;h;yes;acute
5;Algae;EC50*/;180;mi;no;
34;Algae;EC50*/;240;mi;no;
1;Algae;EC60;16;d;no;
1;Algae;EC60;9;d;no;
1;Algae;EC64;48;h;no;
1;Algae;EC69;14;d;no;
4;Algae;EC70;14;d;no;
2;Algae;EC70;24;h;no;
2;Algae;EC70;72;h;no;
1;Algae;EC70;9;d;no;
2;Algae;EC72;14;d;no;
4;Algae;EC75;15;d;no;
2;Algae;EC80;180;mi;no;
8;Algae;EC80;48;h;no;
2;Algae;EC80;72;h;no;
4;Algae;EC80;8;d;no;
1;Algae;EC80;9;d;no;
1;Algae;EC81;14;d;no;
1;Algae;EC85;9;d;no;
2;Algae;EC90;120;h;no;
2;Algae;EC90;14;d;no;
2;Algae;EC90;16;d;no;
17;Algae;EC90;24;h;no;
1;Algae;EC90;35;d;no;
20;Algae;EC90;48;h;no;
6;Algae;EC90;6;d;no;
25;Algae;EC90;72;h;no;
11;Algae;EC90;96;h;no;
1;Algae;EC92;14;d;no;
4;Algae;EC95;14;d;no;
1;Algae;EC95;16;d;no;
2;Algae;EC95;24;h;no;
1;Algae;EC96;14;d;no;
2;Algae;ED50;120;h;no;
1;Algae;ED50;42;d;no;
1;Algae;ED50;72;d;no;
1;Algae;ED99;10;h;no;
2;Algae;ED99;120;h;no;
2;Algae;ER10;48;h;no;
2;Algae;ER10;72;h;yes;chronic
3;Algae;ER25;24;h;no;
2;Algae;ER25;6;h;no;
28;Algae;ER50;24;h;yes;acute
12;Algae;ER50;48;h;yes;acute
2;Algae;ER50;6;h;no;
5;Algae;ER50;72;h;yes;acute
3;Algae;ER50;96;h;yes;acute
3;Algae;ER50/;96;h;yes;acute
1;Algae;ET0;287;mi;no;
1;Algae;ET0;54;mi;no;
1;Algae;ET50;38;mi;no;
1;Algae;ET50;41;mi;no;
1;Algae;ET50;48;mi;no;
1;Algae;ET50;55;d;no;
1;Algae;ET50;6.5;d;no;
10;Algae;ET50;NR;h;no;
3;Algae;IC05;300;mi;no;
12;Algae;IC05;5;mi;no;
1;Algae;IC07;120;h;yes;chronic
1;Algae;IC10;120;h;yes;chronic
8;Algae;IC10;120;mi;no;
1;Algae;IC10;14;mi;no;
2;Algae;IC10;20;mi;no;
15;Algae;IC10;24;h;no;
24;Algae;IC10;240;mi;no;
1;Algae;IC10;25;mi;no;
4;Algae;IC10;30;mi;no;
1;Algae;IC10;33;mi;no;
1;Algae;IC10;35;mi;no;
12;Algae;IC10;40;mi;no;
3;Algae;IC10;45;mi;no;
1;Algae;IC10;48;h;no;
1;Algae;IC10;66;mi;no;
1;Algae;IC10;7;mi;no;
6;Algae;IC10;70;mi;no;
19;Algae;IC10;72;h;yes;chronic
1;Algae;IC10;9;mi;no;
47;Algae;IC10;96;h;yes;chronic
2;Algae;IC100;24;h;no;
1;Algae;IC100;72;h;no;
1;Algae;IC15;120;h;yes;chronic
4;Algae;IC15;48;h;no;
4;Algae;IC15;72;h;yes;chronic
1;Algae;IC20;10;d;yes;chronic
1;Algae;IC20;120;h;yes;chronic
5;Algae;IC20;21;d;no;
2;Algae;IC20;60;mi;no;
3;Algae;IC20;72;h;yes;chronic
1;Algae;IC20;96;h;yes;chronic
3;Algae;IC25;24;h;no;
21;Algae;IC25;48;h;no;
2;Algae;IC25;7;d;no;
16;Algae;IC25;72;h;no;
50;Algae;IC25;96;h;no;
16;Algae;IC40;96;h;no;
12;Algae;IC50;10;d;no;
11;Algae;IC50;10;mi;no;
1;Algae;IC50;11;d;no;
6;Algae;IC50;12;d;no;
52;Algae;IC50;120;h;no;
11;Algae;IC50;120;mi;no;
7;Algae;IC50;14;d;no;
14;Algae;IC50;15;d;no;
1;Algae;IC50;15;h;yes;acute
21;Algae;IC50;15;mi;no;
3;Algae;IC50;16;h;yes;acute
7;Algae;IC50;180;mi;no;
3;Algae;IC50;2;mi;no;
3;Algae;IC50;20;d;no;
8;Algae;IC50;20;mi;no;
67;Algae;IC50;24;h;yes;acute
44;Algae;IC50;240;mi;no;
2;Algae;IC50;30;h;yes;acute
7;Algae;IC50;30;mi;no;
35;Algae;IC50;300;mi;no;
8;Algae;IC50;40;mi;no;
1;Algae;IC50;45;mi;no;
152;Algae;IC50;48;h;yes;acute
1;Algae;IC50;5;mi;no;
4;Algae;IC50;50;mi;no;
5;Algae;IC50;55;h;yes;acute
22;Algae;IC50;6;d;no;
3;Algae;IC50;60;mi;no;
30;Algae;IC50;7;d;no;
1;Algae;IC50;70;mi;no;
219;Algae;IC50;72;h;yes;acute
7;Algae;IC50;8;d;no;
2;Algae;IC50;8;h;no;
1;Algae;IC50;8.166666667;d;no;
144;Algae;IC50;96;h;yes;acute
12;Algae;IC50;NR;d;no;
54;Algae;IC50;NR;h;no;
4;Algae;IC50;NR;lf;no;
9;Algae;IC50;NR;NR;no;
7;Algae;IC50/;48;h;yes;acute
1;Algae;IC50/;60;mi;no;
1;Algae;IC50/;7;d;no;
1;Algae;IC50/;72;h;yes;acute
3;Algae;IC50/;96;h;yes;acute
4;Algae;IC80;15;mi;no;
1;Algae;IC90;10;d;no;
3;Algae;IC90;24;h;no;
2;Algae;IC90;48;h;no;
1;Algae;LC10;10;d;yes;chronic
2;Algae;LC10;24;h;no;
2;Algae;LC10;48;h;no;
2;Algae;LC10;9;h;no;
2;Algae;LC10;96;h;yes;chronic
2;Algae;LC100;10;d;no;
12;Algae;LC100;120;h;no;
1;Algae;LC100;15;d;no;
2;Algae;LC100;30;d;no;
2;Algae;LC100;48;h;no;
3;Algae;LC100;7;d;no;
22;Algae;LC100;72;h;no;
18;Algae;LC100;9;d;no;
8;Algae;LC25;120;h;no;
1;Algae;LC25;6;mi;no;
5;Algae;LC50;10;d;no;
2;Algae;LC50;12;d;no;
32;Algae;LC50;120;h;no;
124;Algae;LC50;14;d;no;
12;Algae;LC50;15;d;no;
1;Algae;LC50;15;mi;no;
1;Algae;LC50;18;d;no;
6;Algae;LC50;20;d;no;
2;Algae;LC50;21;d;no;
13;Algae;LC50;24;h;yes;acute
3;Algae;LC50;240;mi;no;
2;Algae;LC50;28;h;yes;acute
1;Algae;LC50;40;h;yes;acute
1;Algae;LC50;42;d;no;
261;Algae;LC50;48;h;yes;acute
1;Algae;LC50;6;d;no;
1;Algae;LC50;60.8;h;yes;acute
24;Algae;LC50;72;h;yes;acute
1;Algae;LC50;77.6;h;yes;acute
1;Algae;LC50;86.4;h;yes;acute
1;Algae;LC50;9;d;no;
2;Algae;LC50;9;h;no;
34;Algae;LC50;96;h;yes;acute
25;Algae;LC50;NR;d;no;
2;Algae;LC50;NR;NR;no;
1;Algae;LC50/;72;h;yes;acute
1;Algae;LC50*;12;d;no;
14;Algae;LC50*;120;h;no;
9;Algae;LC50*;96;h;yes;acute
4;Algae;LC50*;NR;h;no;
8;Algae;LC75;120;h;no;
1;Algae;LC75;15;d;no;
1;Algae;LD01;24;h;no;
2;Algae;LD100;10;d;no;
4;Algae;LD100;65;d;no;
16;Algae;LD100;7;d;no;
4;Algae;LD100;72;h;no;
1;Algae;LD25;15;d;no;
1;Algae;LD30;15;d;no;
3;Algae;LD50;12;d;no;
1;Algae;LD50;120;mi;no;
2;Algae;LD50;15;d;no;
11;Algae;LD50;18;h;yes;acute
6;Algae;LD50;30;mi;no;
10;Algae;LD50;48;h;yes;acute
3;Algae;LD50;6;d;no;
3;Algae;LD50;60;mi;no;
1;Algae;LD50;96;h;yes;acute
1;Algae;LD90;15;d;no;
1;Algae;LOEC;0;h;no;
4;Algae;LOEC;0;mi;no;
7;Algae;LOEC;1;mi;no;
53;Algae;LOEC;10;d;yes;chronic
7;Algae;LOEC;100;mi;no;
7;Algae;LOEC;11;d;yes;chronic
3;Algae;LOEC;110;d;no;
21;Algae;LOEC;12;d;yes;chronic
42;Algae;LOEC;12;h;no;
1;Algae;LOEC;120;d;no;
200;Algae;LOEC;120;h;yes;chronic
44;Algae;LOEC;120;mi;no;
3;Algae;LOEC;124;d;no;
2;Algae;LOEC;126;d;no;
10;Algae;LOEC;13;d;yes;chronic
2;Algae;LOEC;138;d;no;
81;Algae;LOEC;14;d;yes;chronic
6;Algae;LOEC;140;mi;no;
58;Algae;LOEC;15;d;no;
2;Algae;LOEC;152;d;no;
1;Algae;LOEC;154;d;no;
4;Algae;LOEC;16;d;no;
18;Algae;LOEC;16;h;no;
1;Algae;LOEC;166;d;no;
1;Algae;LOEC;173;d;no;
10;Algae;LOEC;18;d;no;
29;Algae;LOEC;180;mi;no;
4;Algae;LOEC;19;d;no;
34;Algae;LOEC;20;d;no;
15;Algae;LOEC;20;h;no;
41;Algae;LOEC;20;mi;no;
1;Algae;LOEC;20;stg;no;
47;Algae;LOEC;21;d;no;
3;Algae;LOEC;22;d;no;
2;Algae;LOEC;22;h;no;
4;Algae;LOEC;23;d;no;
4;Algae;LOEC;24;d;no;
234;Algae;LOEC;24;h;no;
39;Algae;LOEC;240;mi;no;
4;Algae;LOEC;24.33333333;h;no;
6;Algae;LOEC;24.83333333;h;no;
4;Algae;LOEC;25;d;no;
2;Algae;LOEC;25;h;no;
5;Algae;LOEC;26;d;no;
1;Algae;LOEC;26;h;no;
1;Algae;LOEC;26.33333333;h;no;
1;Algae;LOEC;26.83333333;h;no;
16;Algae;LOEC;27;d;no;
9;Algae;LOEC;270;mi;no;
35;Algae;LOEC;28;d;no;
2;Algae;LOEC;28;h;no;
5;Algae;LOEC;29;d;no;
14;Algae;LOEC;30;d;no;
20;Algae;LOEC;30;h;no;
21;Algae;LOEC;30;mi;no;
1;Algae;LOEC;31;d;no;
3;Algae;LOEC;32;d;no;
3;Algae;LOEC;33;d;no;
3;Algae;LOEC;35;d;no;
20;Algae;LOEC;36;h;no;
1;Algae;LOEC;3.66;mi;no;
15;Algae;LOEC;40;d;no;
5;Algae;LOEC;40;h;no;
3;Algae;LOEC;40;mi;no;
1;Algae;LOEC;4.17;mi;no;
5;Algae;LOEC;42;h;no;
1;Algae;LOEC;43;d;no;
1;Algae;LOEC;44;h;no;
5;Algae;LOEC;47;d;no;
5;Algae;LOEC;48;d;no;
536;Algae;LOEC;48;h;no;
6;Algae;LOEC;5;mi;no;
3;Algae;LOEC;50;mi;no;
3;Algae;LOEC;54;d;no;
8;Algae;LOEC;540;d;no;
8;Algae;LOEC;56;d;no;
1;Algae;LOEC;57;d;no;
1;Algae;LOEC;5.958333333;d;yes;chronic
61;Algae;LOEC;6;d;yes;chronic
42;Algae;LOEC;6;h;no;
2;Algae;LOEC;60;d;no;
5;Algae;LOEC;60;h;no;
22;Algae;LOEC;60;mi;no;
1;Algae;LOEC;61;h;no;
1;Algae;LOEC;63;d;no;
3;Algae;LOEC;68;d;no;
2;Algae;LOEC;68;h;no;
8;Algae;LOEC;69;d;no;
228;Algae;LOEC;7;d;yes;chronic
4;Algae;LOEC;7;h;no;
2;Algae;LOEC;70;d;no;
448;Algae;LOEC;72;h;yes;chronic
2;Algae;LOEC;76;h;yes;chronic
6;Algae;LOEC;77;d;no;
28;Algae;LOEC;8;d;yes;chronic
7;Algae;LOEC;80;mi;no;
3;Algae;LOEC;82;d;no;
2;Algae;LOEC;84;d;no;
35;Algae;LOEC;9;d;yes;chronic
1;Algae;LOEC;9;h;no;
4;Algae;LOEC;90;d;no;
2;Algae;LOEC;93;h;yes;chronic
3;Algae;LOEC;96;d;no;
784;Algae;LOEC;96;h;yes;chronic
14;Algae;LOEC;NR;d;no;
22;Algae;LOEC;NR;h;no;
17;Algae;LOEC;NR;mi;no;
58;Algae;LOEC;NR;mo;no;
368;Algae;LOEC;NR;NR;no;
1;Algae;LOEC/;10;d;yes;chronic
1;Algae;LOEC/;14;d;yes;chronic
2;Algae;LOEC/;21;d;no;
2;Algae;LOEC/;7;d;yes;chronic
1;Algae;LOEC/;72;h;yes;chronic
1;Algae;LOEC/;8;d;yes;chronic
29;Algae;LOEC/;80;mi;no;
1;Algae;LOEL;1;yr;no;
33;Algae;LOEL;10;d;yes;chronic
2;Algae;LOEL;10;mi;no;
1;Algae;LOEL;105;h;yes;chronic
1;Algae;LOEL;11;d;yes;chronic
2;Algae;LOEL;110;h;yes;chronic
19;Algae;LOEL;12;d;yes;chronic
6;Algae;LOEL;12;h;no;
40;Algae;LOEL;120;h;yes;chronic
19;Algae;LOEL;120;mi;no;
35;Algae;LOEL;13;d;yes;chronic
49;Algae;LOEL;14;d;yes;chronic
6;Algae;LOEL;14;h;no;
23;Algae;LOEL;15;d;no;
26;Algae;LOEL;15;mi;no;
5;Algae;LOEL;16;d;no;
6;Algae;LOEL;168;d;no;
7;Algae;LOEL;180;mi;no;
1;Algae;LOEL;19;d;no;
3;Algae;LOEL;20;d;no;
4;Algae;LOEL;20;mi;no;
1;Algae;LOEL;200;d;no;
13;Algae;LOEL;21;d;no;
2;Algae;LOEL;23;d;no;
136;Algae;LOEL;24;h;no;
6;Algae;LOEL;24.03;h;no;
1;Algae;LOEL;25;d;no;
1;Algae;LOEL;26;d;no;
24;Algae;LOEL;27;d;no;
4;Algae;LOEL;28;d;no;
1;Algae;LOEL;3;yr;no;
11;Algae;LOEL;30;d;no;
16;Algae;LOEL;30;mi;no;
4;Algae;LOEL;300;mi;no;
1;Algae;LOEL;31;d;no;
2;Algae;LOEL;32;d;no;
20;Algae;LOEL;35;d;no;
2;Algae;LOEL;36;h;no;
1;Algae;LOEL;40;mi;no;
6;Algae;LOEL;42;d;no;
1;Algae;LOEL;43;d;no;
46;Algae;LOEL;48;h;no;
4;Algae;LOEL;49;d;no;
1;Algae;LOEL;5;mi;no;
3;Algae;LOEL;52;d;no;
1;Algae;LOEL;56;d;no;
1;Algae;LOEL;56;hv;no;
16;Algae;LOEL;6;d;yes;chronic
32;Algae;LOEL;6;h;no;
1;Algae;LOEL;60;d;no;
18;Algae;LOEL;60;mi;no;
4;Algae;LOEL;62;h;no;
1;Algae;LOEL;64;h;no;
1;Algae;LOEL;6.583333333;d;yes;chronic
1;Algae;LOEL;67;d;no;
99;Algae;LOEL;7;d;yes;chronic
1;Algae;LOEL;7;h;no;
64;Algae;LOEL;72;h;yes;chronic
18;Algae;LOEL;8;d;yes;chronic
3;Algae;LOEL;8;h;no;
2;Algae;LOEL;84;d;no;
3;Algae;LOEL;9;d;yes;chronic
3;Algae;LOEL;90;d;no;
2;Algae;LOEL;90;mi;no;
50;Algae;LOEL;96;h;yes;chronic
24;Algae;LOEL;NR;d;no;
3;Algae;LOEL;NR;hv;no;
1;Algae;LOEL;NR;mi;no;
7;Algae;LOEL;NR;stg;no;
1;Algae;LT50;10.2;mi;no;
1;Algae;LT50;10.4;d;no;
1;Algae;LT50;15.5;d;no;
1;Algae;LT50;16.2;mi;no;
1;Algae;LT50;19.8;mi;no;
1;Algae;LT50;20;d;no;
1;Algae;LT50;22.2;mi;no;
1;Algae;LT50;32.4;h;yes;acute
1;Algae;LT50;38.4;h;yes;acute
1;Algae;LT50;51.6;h;yes;acute
1;Algae;LT50;5.2;d;no;
1;Algae;LT50;5.4;d;no;
1;Algae;LT50;6;d;no;
1;Algae;LT50;7;d;no;
1;Algae;LT50;84;h;yes;acute
1;Algae;LT50;9;d;no;
1;Algae;LT50;96;h;yes;acute
7;Algae;MATC;1;mi;no;
1;Algae;MATC;120;d;no;
8;Algae;MATC;120;h;no;
