variable_id,subst_name,casnr,value,source,psm_type
414,Methobromuron,3060897,44100,ppdb,herbicide
415,Methoxychlor,72435,50,malaj,insecticide
418,Methyldesphenyl-Chloridazon,17254807,,none,metabolite
423,Metolachlorsäure,152019733,87605.8542498738,chemprop,metabolite
424,Metolachlorsulfonsäure,171118095,156909.761705698,chemprop,metabolite
426,Metoxuron,19937598,160000,epa,herbicide
526,Propanil,709988,3008.4527361268,epa,herbicide
427,Metribuzin,21087649,49000,malaj,herbicide
429,Mevinphos,7786347,12.076434862,chemprop,insecticide
435,Monolinuron,1746812,32500,ppdb,herbicide
452,Napropamid,15299997,15229.2201077753,epa,herbicide
457,Nicosulfuron,111991094,1e+06,epa,herbicide
471,"o,p-DDE",3424826,19,malaj,metabolite
472,"o,p-DDT",789026,5,malaj,insecticide
476,Omethoat,1113026,21,malaj,insecticide
478,Oxadixyl,77732093,530000,epa,fungicide
480,Oxydemeton-methyl,301122,50.2282894258,epa,insecticide
483,"p,p-DDD (p,p TDE)",72548,9,malaj,insecticide
484,"p,p-DDE",72559,13,malaj,metabolite
487,Parathion-ethyl,56382,2.5,malaj,insecticide
496,Penconazol,66246886,6750,ppdb,fungicide
497,Pencycuron,66063056,666.4964586677,chemprop,fungicide
498,Pendimethalin,40487421,280,malaj,herbicide
505,Pethoxamid,106700292,23000,ppdb,herbicide
510,Phenmedipham,13684634,14000,epa,herbicide
515,Phoxim,14816183,0.81,ppdb,insecticide
517,Picolinafen,137641055,13805.2971615221,chemprop,herbicide
552,Sebuthylazin,7286693,34498.3884180099,chemprop,herbicide
518,Picoxystrobin,117428225,24,ppdb,fungicide
523,Prochloraz,67747095,3681.9907658765,epa,fungicide
524,Prometryn,7287196,12660,malaj,herbicide
525,Propamocarb,24579735,106000,epa,fungicide
527,Propazin,139402,11000,malaj,herbicide
528,Propiconazol,60207901,10200,malaj,fungicide
533,Prosulfocarb,52888809,510,ppdb,herbicide
529,Propoxur,114261,134.6377057738,epa,insecticide
534,Pyraclostrobin,175013180,32.674148803,epa,fungicide
536,Pyrimethanil,53112280,3040,epa,fungicide
539,Quinmerac,90717036,86745.7370610907,chemprop,herbicide
540,Quinoxyfen,124495187,91,epa,fungicide
857,Meptyldinocap,131726,,none,fungicide
558,Simazin,122349,94000,malaj,herbicide
559,"Simazin, 2-Hydroxy",2599113,165760,malaj,metabolite
565,Spiroxamin,118134308,4164.1325627314,epa,fungicide
576,"Summe Demeton-O, -S, -S-methylsulfon, Oxydemetonmethyl",,,none,insecticide
580,Terbutryn,886500,7100,malaj,herbicide
588,Thiacloprid,111988499,44516.9630590408,epa,insecticide
590,Thifensulfuron-methyl,79277273,470000,ppdb,herbicide
589,Thiamethoxam,153719234,106000,epa,insecticide
592,Tolclofos-methyl,57018049,48000,ppdb,fungicide
594,Tolylfluanid,731271,190,epa,fungicide
597,trans-Chlordan,5103742,153.2324544581,chemprop,insecticide
600,Triadimenol,55219653,2500,epa,fungicide
602,Tribenuron,106040486,1765007.38478629,chemprop,herbicide
613,Trifloxystrobin,141517217,136.8283596335,epa,fungicide
608,Trichlorfon,52686,1.2829799354,epa,insecticide
621,Tritosulfuron,142469145,,none,herbicide
643,Fluazifop,69335917,31317.9211290757,chemprop,herbicide
637,Tefluthrin,79538322,0.1137980668,epa,insecticide
638,tau-Fluvalinat,102851069,0.94,epa,insecticide
639,Sulcotrion,99105778,430221.570842551,chemprop,herbicide
641,Mesotrion,104206828,840000,epa,herbicide
642,HCH gesamt,608731,1084,malaj,insecticide
644,Fenoxaprop,95617097,1260,ppdb,herbicide
813,Fluometuron,2164172,4626.0650091827,epa,herbicide
645,Esfenvalerat,66230044,0.2721057959,epa,insecticide
646,Dinoterb,1420071,2552.1674335392,chemprop,herbicide
671,Vinclozolin,50471448,3650,ppdb,fungicide
672,Dichlofluanid,1085989,1050,epa,fungicide
673,Iprodion,36734197,1010.0466881616,epa,fungicide
674,Bromoxynil-Oktanoat,1689992,46,malaj,herbicide
675,Dinoseb,88857,240,malaj,herbicide
676,Kresoximsäure,,,none,metabolite
677,Quizalofop,76578126,57700,ppdb,herbicide
678,Acifluorfen,50594666,28000,ppdb,herbicide
679,Diclofop,40843252,709.0586711992,epa,herbicide
680,Flamprop,58667633,,none,herbicide
681,Fludioxonil,131341861,900,epa,fungicide
683,Anthranilsäureisopropylamid,30391890,,none,metabolite
687,Pyrifenox,88283414,3600,ppdb,fungicide
688,Difenoconazol,119446683,15.1479371533,epa,fungicide
690,Amidosulfuron,120923377,36000,ppdb,herbicide
691,Triasulfuron,82097505,,chemprop,herbicide
692,Metsulfuron,79510488,,chemprop,herbicide
732,Ethidimuron,30043493,,none,herbicide
693,Rimsulfuron,122931480,,chemprop,herbicide
694,Triflusulfuron,135990293,,chemprop,herbicide
695,Methidathion,950378,8.7269696917,epa,insecticide
698,Triflumuron,64628440,1.6,ppdb,insecticide
770,Propetamphos,31218834,6.8622882481,epa,insecticide
699,Fluazinam,79622596,199.8999749875,epa,fungicide
700,Oxamyl,23135220,1665.3617013955,epa,insecticide
701,Acibenzolar-S-methyl,135158542,2900,epa,fungicide
702,Bromuconazol,116255482,869.7700845626,epa,fungicide
703,Carfentrazone-ethyl,128639021,9800,epa,herbicide
704,Clodinafop-propargyl,105512069,2000,epa,herbicide
705,Cycloat,1134232,24000,epa,herbicide
706,Cyflufenamid,180409603,,none,fungicide
707,Diniconazol,83657243,7400,ppdb,fungicide
708,Fenamidon,161326347,96.1925153013,epa,fungicide
709,Fenbuconazol,114369436,2300,epa,fungicide
711,Fuberidazol,3878191,4700,ppdb,fungicide
712,Hexaconazol,79983714,3549.6313077568,epa,fungicide
713,Hexythiazox,78587050,7155.4895489187,chemprop,insecticide
714,Indoxacarb,173584446,45.5367983064,epa,insecticide
715,Mandipropamid,374726622,7100,ppdb,fungicide
716,Metrafenon,220899036,,none,fungicide
717,Oxadiazon,19666309,1935.2864653876,epa,herbicide
718,Proquinazid,189278124,287,ppdb,fungicide
719,Tebufenpyrad,119168773,40.2,epa,insecticide
